X,Y,OBJECTID,IncidentNumber,USTNum,IncidentName,Address,CityTown,ZipCode,County,Mgr,ROCode,DateOccurred,DateReported,ConfRisk,Risk,CloseOut,CurrStatus,CDNum,LURFiled,LandUse,LatDec,LongDec,FacilID,Comm,Reg,LUR_Resc,LUR_State,RRADate,RRARisk,RRARank,RRA_Rank,RRAAbate,DocsLink
2464046.97654094,631669.943749929,736,0,WA-89265,BULOW PROPERTY,233 NC HWY 102 WEST,AYDEN,,PITT,CJW,WAS,2019/04/23 00:00:00+00,2019/05/14 00:00:00+00,L,,,C,0,,,35.47562,-77.441281,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWA-89265%2A%22%7D
1906460.46150696,844144.570672503,737,144,WS-22009,GKN AUTOMOTIVE,1067 TROLLINGWOOD RD,MEBANE,,ALAMA,SEK,WS,1999/06/15 00:00:00+00,1999/06/15 00:00:00+00,L,U,,C,0,,IND,36.06895,-79.3165,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-22009%2A%22%7D
2313213.65556179,191194.296085969,738,206,WI-206,"CSX TRANSPORTATION, INC.",215 SAMPSON STREET,WILMINGTON,28401,New H,NPM,WIL,1980/02/14 00:00:00+00,1980/02/14 00:00:00+00,L,,,C,0,,,34.270833,-77.96333,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-206%2A%22%7D
1192839.88845904,731875.355533391,739,625,AS-88148,GREAT LAKES-ROMARCO,SR 1142,MORGANTON,,BURKE,JCA,ASH,1988/01/02 00:00:00+00,1988/01/02 00:00:00+00,L,L,,C,0,,,35.730555,-81.72,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-88148%2A%22%7D
1505371.82011822,481523.316917512,740,795,MO-795,RADIATOR SPECIALTY,600 RADIATOR ROAD,INDIAN TRAIL,28079,Union,,MOR,,,U,U,,C,0,,,35.061765,-80.65303,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AMO-795%2A%22%7D
2218578.83800951,84613.3466153235,741,2021,WI-2021,DAVID GILLEY INCIDENT,712 SANDCASTLE DR. SW,SUPPLY,28462,Bruns,LEP,WIL,1999/03/09 00:00:00+00,1999/03/09 00:00:00+00,H,L,1999/05/11 00:00:00+00,A,613,,,33.9803,-78.2791,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-2021%2A%22%7D
2316844.99308685,159066.487127426,742,2718,WI-2718,KOCH FUELS REFINING CO. (SOUTH)Invista,3334 RIVER ROAD,WILMINGTON,28412,New H,LEP,WIL,1994/09/02 00:00:00+00,1994/09/02 00:00:00+00,L,I,2019/07/19 00:00:00+00,C,0,2019/06/07 00:00:00+00,IND,34.182456,-77.952434,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-2718%2A%22%7D
1860951.41031586,1003787.01936106,743,2843,WS-2843,PELHAM COMMUNITY,OLD HWY 29,PELHAM,27311,CASWE,LME,WS,1988/01/08 00:00:00+00,1988/01/08 00:00:00+00,L,,2010/04/24 00:00:00+00,C,0,,RES,36.506944,-79.473055,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-2843%2A%22%7D
2108774.184349,734161.479557606,744,2859,RA-2859,NORWOOD OIL CO,509 N. WEST ST.,RALEIGH,27603,Wake,,RAL,1985/01/23 00:00:00+00,1985/01/23 00:00:00+00,U,,2002/11/23 00:00:00+00,C,0,,,35.766666,-78.633333,00-0-0000005972,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-2859%2A%22%7D
2054503.49504271,716013.920708152,745,2930,RA-2930,TEXACO OIL BULK PLANT-II,2232 SR1010,APEX,27539,Wake,,RAL,1985/03/13 00:00:00+00,1985/03/13 00:00:00+00,L,L,2003/07/23 00:00:00+00,C,0,,,35.717222,-78.816388,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-2930%2A%22%7D
