Feature Name,Latitude,Longitude,,
29NC Airport (historical),35.3111,-81.6267,,
Adams Airport,34.5773,-79.2483,,
Administration Building Helispot Airport,35.7829,-78.6411,,
Aero Plantation Airport,34.993,-80.7462,,
Air Harbor Airport,36.1712,-79.8013,,
Albemarle Airport (historical),35.3376,-80.1776,,
Albert J Ellis Airport,34.8305,-77.6061,,
Alexander County Airport,35.8509,-81.1395,,
Allen Airport (historical),35.6793,-79.6178,,
American Telephone and Telegraph Company Airport (historical),35.7815,-79.0739,,
Anderson Landing Strip (historical),35.3191,-77.1697,,
Anson County Airport - Jeff Cloud Field,35.024,-80.0813,,
Arant Airport,35.0569,-80.451,,
Ashe County Airport,36.4315,-81.4219,,
Asheboro Regional Airport,35.6529,-79.8934,,
Asheville Airpark (historical),35.6001,-82.5998,,
Asheville Regional Airport,35.4373,-82.539,,
Atlantic Field Marine Corps Outlying Field,34.8878,-76.354,,
Atwell Airport,35.6596,-80.7892,,
Avery County Airport/Morrison Field,35.9472,-81.9963,,
Bagwell Airport,35.6752,-78.6098,,
Ball Airport,36.1352,-78.2828,,
Bar-Fly Corporation Airport (historical),35.0876,-81.0054,,
Barclaysville Field,35.4684,-78.6873,,
Barringer Field,35.5276,-80.694,,
Bay Creek Airport,35.2064,-76.6143,,
Bear Creek Airport,35.4071,-80.3576,,
Bear Pen Airport,34.1281,-78.3402,,
Beard Airport,35.0677,-78.9342,,
Bell Mountain Airport,35.2181,-82.4262,,
Bell Strip,34.9956,-77.2566,,
Benton Farm Airport,35.0989,-76.6289,,
Benton's Airfield (historical),35.4998,-78.0322,,
BHH Aviation Airport,36.4756,-79.5957,,
Big Daddys Airport (historical),35.4854,-77.9008,,
Billy Mitchell Airport,35.2318,-75.6213,,
Birds Nest Airport,35.3579,-79.8892,,
Bladen County Hospital Airport,34.6196,-78.6253,,
Bladen Lakes Airport (historical),34.6835,-78.5831,,
Bladenboro Airport,34.5459,-78.7763,,
Blevins Airport (historical),36.0982,-80.1456,,
Blue Ridge Airfield (historical),34.7071,-77.83,,
Bogue Field Marine Corps Auxiliary Field,34.6963,-77.0274,,
Bolton Airport (historical),34.2829,-78.3753,,
Boomerang Airport,35.2148,-81.8653,,
Boone Inc Airport,36.1968,-81.6395,,
Boonville Airport,36.2229,-80.7149,,
Boyd Field,35.5309,-77.1992,,
Boyd's Hawks Creek Airport,35.8985,-80.6162,,
Bradford Field,35.4087,-80.7942,,
Branson Airport (historical),35.5307,-80.8681,,
Brevard Airport,35.2226,-82.7268,,
Brickhouse Field (historical),34.4141,-77.9497,,
Broadway Airfield,35.543,-80.6503,,
Brockenbrough Airport (historical),35.3182,-80.8387,,
Brocks Airport,34.9178,-78.6019,,
Brooks Field,35.6937,-79.4082,,
Brower Field (historical),35.8887,-80.0359,,
Brown Airport,35.9049,-81.1398,,
Brown Field,34.8923,-80.3706,,
Buchanan Airport (historical),35.8071,-78.3664,,
Buffalo Creek Airport,35.4219,-80.6225,,
Buie Field,34.7892,-79.1941,,
