Type, Name, PFAS, Latitude, Longtitude
Well,CLAY CO WATER & SEWER DISTRICT: WELL #5,0,35.05,-83.82
Drinking Water,City of Conway,37,36.44,-77.23
Well,THE VILLAGE OF BALD HEAD ISLAND: ROYAL JAMES WELL,28.81,33.86,-77.99
Drinking Water,THE VILLAGE OF BALD HEAD ISLAND NC,26.8,33.87,-78.00
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM NC,395.4,33.96,-78.08
Drinking Water,Brunswick County Water System,395,34.00,-78.01
Well,CAROLINA BEACH WATER SYSTEM: WELL #1,0,34.03,-77.90
Well,CFPUA-WILMINGTON: MASONBORO FOREST WELL #43,0,34.12,-77.89
Well,TABOR CITY  TOWN OF   WELL #1,0,34.15,-78.88
Creek,CFPUA/MONTEREY HEIGHTS: LORDS CREEK,0,34.15,-77.91
Drinking Water,Willow Woods Arbor,132,34.20,-77.86
Creek,Bradley Creek Boataminium,188,34.21,-77.83
Drinking Water,WRIGHTSVILLE BEACH WATER SYST NC,2459.7,34.21,-77.80
Drinking Water,Cape Fear Public Utility Authority - Wilmington,634,34.24,-77.95
Drinking Water,CFPUA-WILMINGTON NC,406,34.24,-77.87
Drinking Water,COLUMBUS COUNTY WATER DIST III NC,7.3,34.25,-78.75
Drinking Water,Brunswick Regional Water & Sewer H2GO,13.21,34.26,-78.09
Drinking Water,Treasure Cove S/d,28,34.27,-77.79
Well,TOWN OF BRUNSWICK_0424040  DUTCHESS FOREST S/D: WELL #1,0,34.29,-78.70
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,118,34.30,-77.99
Drinking Water,Corning Inc,315,34.30,-77.88
Well,CFPUA/NHC: WELL B - CASTLE HAYNE,207.8,34.30,-77.81
Waterways,NH-558 NR WILMINGTON  NC CASTLE HAYNE,158.1,34.30,-77.80
Drinking Water,FAIR BLUFF  TOWN OF,0,34.31,-79.03
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,237,34.31,-77.99
Well,"LAKE WACCAMAW, TOWN OF: Well",9,34.32,-78.52
Lake,Lake Waccamaw  NC,9,34.32,-78.50
Well,BOLTON  TOWN OF: WELL #1,3.2,34.32,-78.40
Drinking Water,CERRO GORDO  TOWN OF,0,34.33,-78.95
Well,WHITEVILLE  CITY OF: WELL #5,0,34.33,-78.69
River,CFPUA-WILMINGTON: CAPE FEAR RIVER KINGS BLUFF,281.42,34.39,-78.29
Waterways,CFPUA-WILMINGTON: LOWER CAPE FEAR WSA - KINGS BLUFF,406.02,34.41,-78.32
Drinking Water,INTERNATIONAL PAPER COMPANY_0424820,299.12,34.43,-78.35
Drinking Water,TOWN OF SURF CITY NC,1.5,34.43,-77.55
adia,CATAWBA RIV-LAKE WYLIE,5.44,34.47,-80.89
Drinking Water,CLARKTON  TOWN OF,0,34.47,-78.65
Drinking Water,FAIRMONT TOWN OF ,0,34.50,-79.12
Well,ROWLAND  TOWN OF  : WELL #1,0,34.53,-79.29
Drinking Water,BLADEN CO WTR DIST-WEST BLADEN NC,144.5,34.54,-78.80
Drinking Water,PENDER COUNTY UTILITIES NC,425.5,34.55,-77.92
Drinking Water,ONSLOW WTR AND SEWER AUTHORITY,250,34.55,-77.54
Drinking Water,BURGAW  TOWN OF,316,34.58,-77.86
Drinking Water,BLADEN BLUFFS WATER SYSTEM NC,423.5,34.59,-78.57
River,LUMBERTON  CITY OF : LUMBER RIVER,56.52,34.60,-79.12
River,CITY OF LUMBERTON : LUMBER RIVER,56.5,34.61,-79.15
Drinking Water,City of Lumberton,57,34.62,-79.01
River,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.48,34.62,-78.55
Drinking Water,Robeson County,150,34.63,-79.22
Well,BLADEN CO WTR DIST-WEST BLADEN: WELL #8,154.17,34.63,-78.80
Drinking Water,ROBESON COUNTY WATER SYSTEM NC,15.5,34.64,-79.11
Drinking Water,Onslow  NC,1.6,34.65,-77.47
Well,WHITE LAKE  TOWN OF  WELL #3A,0,34.66,-78.51
Drinking Water,ATLANTIC BEACH  TOWN OF,15,34.71,-76.84
Drinking Water,MAXTON  TOWN OF,79,34.72,-79.31
Drinking Water,TOWN OF WALLACE NC,11,34.74,-77.99
Drinking Water,Laurinburg  NC,0,34.75,-79.48
Well,ONSLOW WTR AND SEWER AUTHORITY: WELL #13,1.6,34.77,-77.45
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,107.34,34.78,-78.71
Drinking Water,town of GARLAND,0,34.79,-78.40
Well,NEWPORT WATER SYSTEM: WELL #3,0,34.79,-76.87
Well,RED SPRINGS  TOWN OF: WELL #2,0,34.81,-79.19
Drinking Water,SAINT PAULS  NC,0,34.81,-78.98
Waterways,Georgia Branch,3616.64,34.82,-78.83
Drinking Water,TOWN OF GREENEVERS NC,1.4,34.82,-77.93
Well,ROSE HILL  TOWN OF  : WELL #5,2.1,34.83,-78.03
Well,GREENEVERS  TOWN OF: WELL #1,1.4,34.83,-77.93
Drinking Water,Greenville,23,35.59,-77.39
Creek,Willis Creek,1213.49,34.86,-78.85
Creek,Willis Creek,759.93,34.86,-78.83
Drinking Water,HAMLET WATER SYSTEM NC,9.2,34.88,-79.69
Drinking Water,DUPLIN COUNTY WATER SYSTEM NC,3,34.88,-78.02
Well,WAGRAM  TOWN OF: WELL #3,14.65,34.89,-79.37
Drinking Water,Parkton  NC,0,34.90,-79.01
Drinking Water,TOWN OF MAGNOLIA NC,6.6,34.90,-78.05
Well,TOWN OF MAYSVILLE  : Well,334.4,34.90,-77.23
Drinking Water,ANSON COUNTY WATER SYSTEM NC,18.8,34.91,-80.19
River,Cape Fear River,13.7,34.92,-78.80
Drinking Water,Union County  NC,24,34.93,-80.54
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,136,34.93,-78.72
Drinking Water,ROCKINGHAM  CITY OF,237,34.94,-79.81
Drinking Water,Rockingham  NC,1.15,34.95,-79.75
Drinking Water,Roseboro  NC,1.1,34.95,-78.51
Drinking Water,TOWN OF WADESBORO  NC,19,34.97,-80.08
