X,Y,FID,Location_I,Site_Name,Address1,Address2,City,State,Zip,County,Start_Date,Latitude,Longitude,GlobalID
-8637835.9994,4351763.7044,1,CCB0001,O.N. Vaughan,4752 NC Highway 301, ,Halifax,NC,27890,Halifax,2007/11/19 00:00:00,36.370801,-77.595001,{03AA4C1D-0BB0-4E29-92EE-8A63DA03D90C}
-8638556.2365,4347366.8259,2,CCB0002,Wayne Long Mini-Storage,NC Highway 125, ,Halifax,NC,27890,Halifax,2008/08/18 00:00:00,36.338991,-77.601471,{105F1061-C890-4FF3-ADB9-ACE83E8F9300}
-8800807.7339,4367487.4743,3,CCB0003,Progress Energy Carolinas - Roxboro Plant-gypsum storage pad,1700 Dunnaway Road, ,Semora,NC,27343,Person,2008/11/01 00:00:00,36.484451,-79.059001,{E147D864-BA47-479A-8A55-8536EE47213F}
-8684930.1553,4018273.6366,4,CCB0004,Southport Gymnasium,211 North Atlantic Avenue, ,Southport,NC,28461,Brunswick,1996/10/21 00:00:00,33.921555,-78.018055,{336AE4DA-F908-4F38-9BD4-4F8ABECF18FE}
-8691232.1743,4019350.658,5,CCB0005,Brunswick County Airport Phase I,4019 Long Beach Road, ,Oak Island,NC,28461,Brunswick,1994/09/17 00:00:00,33.929583,-78.074667,{59AB356C-89E9-42E5-BE9A-FC7091E2ED33}
-8691080.5571,4019453.6968,6,CCB0006,Brunswick County Airport Phase II,4019 Long Beach Road, ,Oak Island,NC,28461,Brunswick,1996/08/21 00:00:00,33.930351,-78.073305,{D8A30CC0-B231-42EC-ADEB-4465B427C72A}
-8696649.426,4036114.4669,7,CCB0007,Roans Branch Hunting Preserve,600 block of Green Lewis Road, ,Boliva,NC,28422,Brunswick,2005/06/23 00:00:00,34.054441,-78.123331,{8DD97B9C-42A9-43F6-A6AC-DB18D9B7C81F}
-8693987.2204,4048049.3579,8,CCB0008,"Irving Farm Rd./Near Winnabow, NC",S.R. 1410 / Green Hill Road N.E., ,Winnabow,NC,28479,Brunswick,1998/12/01 00:00:00,34.143221,-78.099416,{6A025AC4-0D03-4C65-B608-5838B8F3CB2E}
-8698026.4481,4049747.3132,9,CCB0009,Willetts’ Lewis Swamp Property,North of S.R. 1410 / Green Hill Road N.E.,(Sunflower Trail N.E.),Leland,NC,28451,Brunswick,1998/03/02 00:00:00,34.155844,-78.135701,{650C7AAD-90DC-48CD-A21E-8F34F5EBE05D}
-8698485.7523,4050136.36,10,CCB0010,Lanier Property Project Dupont,Turceau Trail N.E., ,Leland,NC,28451,Brunswick,1999/09/17 00:00:00,34.158736,-78.139827,{083A5C28-4E1A-4EC5-89F1-AD36069AE9A4}
