Facility,Industry,State,Latitude,Longitude,Total
"""SYDNEY TO THE MAX"" S-2",Paints and Coatings, CA,34.088875,-118.33511,1
#122 ROADPIT 1,Waste Management, CO,38.09706,-106.224497,1
#4   5 S SATELLITE COMPRESSOR STATION -,Oil and Gas, LA,32.356339,-92.980397,1
(540) CIVITAS RESOURCES - DENVER BASIN,Oil and Gas, CO,39.751289,-104.998105,1
(540) CIVITAS RESOURCES - GB - DENVER BASIN,Oil and Gas, CO,39.751289,-104.998105,1
(DCP MIDSTREAM) CROSSROADS PLANT,Oil and Gas, TX,32.438101,-94.301215,1
(HHW) HAZARDOUS MATERIALS COLLECTION CENTER,Waste Management, FL,26.157075,-81.672468,1
(KEDA) KLETSEL ECONOMIC DEVELOPMENT AUTHORITY,Textiles and Leather, CA,39.032497,-122.066687,1
_OCALA NATIONAL FOREST FIRE CONTROL CENTER,Fire Training, FL,29.014,-81.64119,1
1 CONNECTICUT STREET AND 16TH STREET,Waste Management, CA,37.757188,-122.39284,1
10 STAR COATINGS  LLC,Metal Coating, NC,36.167328,-80.037265,1
100 MINUTEMAN LLC (PROPERTY OWNER),Electronics Industry, MA,42.691564,-71.214565,1
100 PINE AIRE DRIVE,Electronics Industry, NY,40.77409,-73.27016,1
100 WATER STREET,Waste Management, NJ,40.71859,-74.0937,1
101 DISPOSAL COMPANY,Waste Management, CA,33.7889,-118.29752,1
101 FLEET REALTY LLC REDEVELOPMENT,Plastics and Resins, NY,40.69274,-73.98115,1
1015 SHARY CIRCLE  CONCORD CA,Paints and Coatings, CA,37.953603,-122.032349,1
101ST AIR REFUELING WING,Airports, ME,44.81772,-68.82146,1
10204 WEST 181ST AVENUE - LOWELL TRANSFER,Waste Management, IN,41.29002,-87.45728,1
1046 W. TAYLOR STREET,Textiles and Leather, CA,37.323589,-121.91648,1
104TH JUST EAST OF NORTHGLENN,Waste Management, CO,39.869663,-104.379505,1
107 BARCELONA DR AMERICAN CYN CA 94503,Waste Management, CA,38.16086,-122.24797,1
108 DISPOSAL LLC,Waste Management, LA,30.24047,-93.32551,1
108 LANDFILL,Waste Management, LA,30.235786,-93.327441,1
10-8 TRUCKING,Waste Management, CA,35.571575,-120.552483,1
108TH WING  NEW YORK AIR NATIONAL GUARD,National Defense, NJ,40.204578,-74.761309,1
1090 EAST DUANE AVENUE  LLC,Electronics Industry, CA,37.385244,-122.001334,1
