Facility,State Territory or Tribe,Latitude,Longitude,Total
3M COMPANY, AL,34.64179,-87.033608,12
3M CORDOVA, IL,41.755,-90.284167,275
3M Cottage Grove Center - Site, MN,44.789444,-92.908333,473
Airgas Therapeutics LLC - Scott Medical Products, PA,40.384845,-75.146286,1
ALCOA INC - WARRICK OPERATIONS, IN,37.915,-87.3328,26
ALCOA INTALCO WORKS, WA,48.8455,-122.7055,26
Alcoa USA Corp., NY,44.965835,-74.8935,14
ALCOA WENATCHEE LLC, WA,47.3567,-120.1273,18
Ameren Illinois Electric, IL,40.69048,-89.59244,18
Ameren Missouri Electric, MO,38.620785,-90.211635,19
American Transmission Company, WI,43.060408,-88.225005,18
Anaheim Electric Distribution System, CA,33.83458,-117.91401,27
ANALOG DEVICES, WA,45.59995,-122.45204,55
Analog Devices Inc, MA,45.502117,-122.824922,70
Analog Devices  Inc./ Wilmington Manufacturing, MA,42.5307,-71.14958,83
Aptina LLC, ID,43.596395,-116.534622,30
ARCONIC TENNESSEE OPERATIONS, TN,35.811815,-83.969576,2
Arconic US LLC, NY,44.950425,-74.893685,14
ARKEMA  INC., KY,37.056699,-88.365727,62
Austin Energy Transmission and Distribution, TX,30.25898,-97.75186,54
Avago Technologies, CO,40.5236,-105.02021,61
Avista Corporation, WA,47.66,-117.39,45
Bandera Electric Cooperative, TX,29.735226,-99.11077,18
Bearkat Substation, TX,31.766,-101.5312,9
Calhoun Generating Facility, AL,33.5883,-85.9731,18
CenterPoint Energy Houston Electric  LLC substations, TX,29.639182,-95.208525,9
Central Hudson Gas and Electric Corporation Elec T&D Equipment, NY,41.690648,-73.931605,36
Central Maine Power Company, ME,44.312562,-69.818399,36
CENTURY ALUMINUM OF KENTUCKY, KY,37.94499,-86.78777,26
Century Aluminum of South Carolina  Inc., SC,33.051743,-80.054289,26
Century Aluminum Sebree LLC, KY,37.6569,-87.5006,26
Chemours - Corpus Christi Plant, TX,27.91929,-97.28451,45
CHEMOURS CHAMBERS WORKS, NJ,39.68203,-75.490544,53
CHEMOURS COMPANY - FAYETTEVILLE WORKS, NC,34.8419,-78.8388,137
CHEMOURS EL DORADO, AR,33.11,-92.675,17
CHEMOURS LOUISVILLE WORKS, KY,38.217166,-85.841979,12
CHEMOURS WASHINGTON WORKS, WV,39.271944,-81.661667,117
Clean Harbors El Dorado LLC, AR,33.2044,-92.6308,3
Coalinga Cogeneration Facility, CA,36.1807,-120.3885,72
Cogen Technologies Linden Venture  L.P., NJ,40.633328,-74.212781,45
COLUMBIA FALLS ALUMINUM COMPANY  LLC, MT,48.387222,-114.125,12
ComEd, IL,41.84613,-87.98525,36
Consumers Energy - Electric Asset Management, MI,42.24668,-84.40311,18
Continental Casting LLC, MO,39.798983,-91.51461,6
Cottonwood Substation, TX,33.7783,-100.8766,9
CPS Energy SF6 Equipment, TX,29.42271,-98.4907,9
Cypress Semiconductor, TX,30.21421,-97.72481,93
DAIKIN AMERICA INC., AL,34.630486,-87.039444,52
Delmarva Power & Light Company, DE,39.67317,-75.66861,27
Diodes Fabtech  Inc, MO,38.92849,-94.40081,16
Diodes US Manufacturing Incorporated, ME,43.640687,-70.325903,71
DOW TEXAS OPERATIONS FREEPORT, TX,28.9792,-95.3549,72
Duquesne Light Company, PA,40.466533,-80.036721,27
Eastman Kodak - Kodak Park, NY,43.1969,-77.6289,12
Entergy Arkansas  Inc., AR,34.74409,-92.27552,18
Entergy Louisiana  LLC., LA,30.44698,-91.18606,18
Entergy Mississippi  Inc., MS,32.298627,-90.184226,18
Entergy New Orleans  Inc., LA,29.95334,-90.08021,18
Entergy Texas  Inc., TX,30.08531,-94.0973,18
Fairchild Semiconductor, PA,41.141875,-75.89487,66
Fairchild Semiconductor, UT,40.58775,-111.96975,34
Faraday Substation, TX,32.6479,-101.3971,9
FirstEnergy Substation Group, OH,41.08312,-81.51766,18
FPL Transmission and Distribution System, FL,26.768814,-80.101219,72
G & W Electric Company, IL,41.67386,-88.074253,108
GE GLOBAL RESEARCH CENTER, NY,42.830953,-73.876394,28
General Cable, CT,41.72295,-72.23935,36
General Motors Components Holdings LLC, IN,40.45534,-86.10347,43
Georgia Transmission Corporation, GA,33.844,-84.24219,18
GE's Grid Solutions, PA,40.124713,-79.930463,108
Gibbons Creek Switchyard, TX,30.6167,-96.0778,63
