Site,Name,PFAS,Latutude,Longtitude
Military Site,Seymour Johnson Air Force Base,312000,35.3524,-77.9653
Drinking Water,ROBESON COUNTY WATER SYSTEM,200600,35.06375,-78.87223
Military Site,CAMP LEJEUNE NC MCB,179348,34.5842,-77.3604
Drinking Water,City of Greensboro,124000,36.21522,-79.66144
Drinking Water,BRAGG COMMUNITIES/NTA,114500,35.27629,-79.17743
Drinking Water,TOWN OF JAMESTOWN  NC,105600,35.96232,-79.97522
Drinking Water,LILLINGTON WATER SYSTEM,56700,35.38163,-78.90619
Drinking Water,CITY OF BESSEMER CITY  NC,50300,35.31616,-81.27391
Drinking Water,TOWN OF SELMA  NC,35700,35.58045,-78.2704
Drinking Water,SEYMOUR JOHNSON AFB,30600,35.35057,-77.96815
Drinking Water,Town of Fuquay-Varina,30000,35.58434,-78.80003
Drinking Water,LAMPLIGHTER SOUTH-DANBY,29000,35.08041,-80.88759
Drinking Water,CFPUA - Wilmington,27000,34.30237,-77.98529
Drinking Water,CITY OF DURHAM  NC,26100,35.8387,-78.82694
Drinking Water,Moore County Public Utilities - Pinehurst,25000,35.26479,-79.53786
Drinking Water,City of Albemarle,20000,35.32139,-80.20982
Drinking Water,UNION COUNTY WATER SYSTEM,15900,35.10196,-80.59939
Drinking Water,Fayetteville Public Works Commission,15000,35.06375,-78.87223
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,13700,34.30237,-77.98529
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,13600,34.93037,-78.72495
Drinking Water,Brunswick Regional Water & Sewer H2GO,13210,34.25775,-78.08801
Drinking Water,TOWN OF WADESBORO  NC,12800,34.96821,-80.07673
Drinking Water,TOWN OF WINGATE   NC ,10600,34.98062,-80.44378
Drinking Water,CENTRAL NASH WATER & SEWER,10500,35.77733,-78.19064
Military Site,Charlotte Douglas International Airport,10100,35.2164,-80.9539
Drinking Water,Town of Cary,10000,35.7698,-78.78162
Drinking Water,TOWN OF DALLAS  NC,8000,35.3533,-81.18577
Drinking Water,CITY OF OXFORD   NC,7300,36.3715,-78.45246
Drinking Water,NORTHAMPTON--LAKE GASTON,6200,36.53258,-77.82529
Well,Georgia Branch,3736.76,34.8156,-78.8317
Waterways,Georgia Branch,3616.64,34.81569,-78.83175
Drinking Water,CITY OF RALEIGH  NC,3300,35.5982,-78.45246
Well,Georgia Branch,3257.21,34.81569,-78.83175
Well,Georgia Branch,3222.08,34.81441,-78.83228
Drinking Water,CITY OF ROCKINGHAM  NC,3200,34.9395,-79.80726
Military Site,Salisbury AASF #2,2794,35.6461,-80.5248
Drinking Water,WRIGHTSVILLE BEACH WATER SYST NC,2459.7,34.2085,-77.79637
Waterways,Georgia Branch,2232.83,34.811806,-78.830387
Waterways,Georgia Branch,2086.64,34.813013,-78.83119
Waterways,Mines Creek,1986.32,34.81394,-78.83533
Well,Mines Creek,1797.55,34.81841,-78.85773
Well,Mines Creek,1759.42,34.81394,-78.83533
Well,"WRIGHTSVILLE BEACH, TOWN OF well",1708,34.2215,-77.8213
Waterways,ECF3,1577.31,34.851235,-78.812756
