10 HUC,CON,Column1,Column2
Aarons Creek-John H Kerr Reservoir,"Aarons Creek-John H Kerr Reservoir , NC",35.7595731,-79.0192997
Aberdeen Creek,"Aberdeen Creek , NC",35.0937596,-79.4506955
Acre Swamp-Pungo Swamp,"Acre Swamp-Pungo Swamp , NC",35.6042211,-76.8432658
Adams Creek,"Adams Creek , NC",34.8984152,-76.6701442
After Bay Reservoir-Hyco River,"After Bay Reservoir-Hyco River , NC",36.5243559,-79.0129409
Aggie Run,"Aggie Run , NC",35.6231658,-77.1081533
Alarka Creek,"Alarka Creek , NC",35.3601664,-83.4296001
Albemarle Sound-Croatan Sound,"Albemarle Sound-Croatan Sound , NC",36.0786612,-75.946324
Alligator River,"Alligator River , NC",35.9671031,-75.9815827
Alligator Swamp,"Alligator Swamp , NC",34.1113509,-78.4695097
Anderson Creek,"Anderson Creek , NC",35.2834941,-78.9169696
Anderson Creek-Mill Creek,"Anderson Creek-Mill Creek , NC",35.2834941,-78.9169696
Angola Creek,"Angola Creek , NC",34.7496744,-77.7187389
Angola Swamp,"Angola Swamp , NC",34.7058938,-77.8710285
Apalachia Lake-Hiwassee River,"Apalachia Lake-Hiwassee River , NC",35.1681312,-84.2403925
Archies Creek-Dan River,"Archies Creek-Dan River , NC",36.5534969,-80.4521178
Armstrong Creek,"Armstrong Creek , NC",35.7924524,-82.0842602
Arthurs Creek-Roanoke River,"Arthurs Creek-Roanoke River , NC",36.1442401,-77.1588948
Ashe Island-Stump Sound,"Ashe Island-Stump Sound , NC",34.4782224,-77.4663541
Ashes Creek,"Ashes Creek , NC",34.5692491,-77.7652239
Ashpole Swamp,"Ashpole Swamp , NC",34.5259966,-79.2328172
Avents Creek-Cape Fear River,"Avents Creek-Cape Fear River , NC",35.5055034,-78.8991173
Avery Creek-French Broad River,"Avery Creek-French Broad River , NC",35.4662735,-82.5766075
Aycock Creek-Tar River,"Aycock Creek-Tar River , NC",35.7567658,-77.4351508
Aycock Swamp,"Aycock Swamp , NC",35.5686158,-77.9210238
Back Bay,"Back Bay , NC",35.7595731,-79.0192997
Back Creek,"Back Creek , NC",35.7722604,-79.8968798
Back Creek-Bath Creek,"Back Creek-Bath Creek , NC",35.4714355,-76.8201971
Back Swamp,"Back Swamp , NC",34.5847186,-79.1209829
Bald Mountain Creek,"Bald Mountain Creek , NC",35.9806926,-82.4427557
Balls Creek,"Balls Creek , NC",35.6473729,-81.1016773
Barbecue Creek,"Barbecue Creek , NC",35.3171805,-79.0277591
Barbeque Swamp,"Barbeque Swamp , NC",36.203562,-76.8836249
Barnards Creek-Cape Fear River,"Barnards Creek-Cape Fear River , NC",35.7595731,-79.0192997
Barnes Creek,"Barnes Creek , NC",35.4799889,-79.9612239
Bashavia Creek-Yadkin River,"Bashavia Creek-Yadkin River , NC",35.7595731,-79.0192997
Bawdy Creek,"Bawdy Creek , NC",35.4360672,-78.2333656
Beaman Run-Contentnea Creek,"Beaman Run-Contentnea Creek , NC",35.5195485,-77.6704405
Bear Branch-Waccamaw River,"Bear Branch-Waccamaw River , NC",33.6959905,-78.9224708
Bear Creek,"Bear Creek , NC",35.6168118,-79.3847432
Bear Creek-Bear Inlet,"Bear Creek-Bear Inlet , NC",35.6168118,-79.3847432
Bear Creek-North Toe River,"Bear Creek-North Toe River , NC",35.9742848,-82.1521053
Bear Pen Islands Swamp,"Bear Pen Islands Swamp , NC",34.1332256,-78.342225
Bear Swamp,"Bear Swamp , NC",36.1622346,-76.5598586
