X,Y,OBJECTID,EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE,source,GEOLOC_COD,STATUS,PRO_CONTAC,PHONE,EMAIL,NFA_RESTRI,Update_Dat,Doc_Link
-78.665671,35.071451,3268,NONCD0000375,Stedman Landfill,Page Road,Stedman,Cumberland,35.071451,-78.665671,ESRI AGOL BASE MAP,31,Remediation,Brian Wright,919-508-7126,brian.wright@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000375*%22}
-82.825777,35.5265650000001,3269,NONCD0000813,reynold's school road,reynold's school road,canton,HAYWOOD,35.526565,-82.825777,ESRI AGOL BASE MAP,31,Remediation,Jason Kam,919-707-8346,jason.kam@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000813*%22}
-78.669111,35.838112,3270,NCD980845903,Old Raleigh #9-Howard Johnson Crabtree,2102 CENTURY DRIVE,RALEIGH,WAKE,35.838112,-78.669111,ESRI AGOL BASE MAP,31,Investigation,Jason Kam,919-707-8346,jason.kam@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD980845903*%22}
-82.720782,35.5147420000001,3271,NONCD0000682,BUNCOMBE CO LF/E CANTON LF/OLD CHANDLER LF,Little Piney Rd,Enka,BUNCOMBE,35.514742,-82.720782,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000682*%22}
-82.365323,35.519842,3272,NCD980557946,Fairview Landfill,Hollywood Rd.,Fairview,Buncombe,35.519842,-82.365323,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD980557946*%22}
-81.440978,35.728034,3273,NONCD0000170,Hildebran Disposal Area,Tex's Fish Camp Rd,HILDEBRAN,Burke,35.728034,-81.440978,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000170*%22}
-78.837326,34.904815,3274,NONCD0000741,Cumberland County Landfill,Smokey Canyon Dr.,Hope Mills,Cumberland,34.904815,-78.837326,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000741*%22}
-80.221784,36.136717,3275,NONCD0000307,Airport Landfill,Airport Rd,Winston-Salem,Forsyth,36.136717,-80.221784,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000307*%22}
-80.2389929999999,36.083806,3276,NONCD0000782,CENTRAL PARK LDFL,S MAIN & SALEM AVE,WINSTON-SALEM,FORSYTH,36.083806,-80.238993,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000782*%22}
-81.063679,35.2595150000001,3277,NONCD0000318,Mcadenville Dump,McAdenville Rd,McAdenville,Gaston,35.259515,-81.063679,ESRI AGOL BASE MAP,31,No Further Action,PRLF Unit Supervisor,919-707-8333,ryan.channell@ncdenr.gov,TRUE,2023/09/11 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0000318*%22}
