X,Y,Date_Orig,Date_Issue,Date_Expir,FID,Permit_ID,NCS_Number,Firm_Name,Contact_FN,Contact_LN,Phone,Address,City,State,Zip,County,Owns,Domestic_S,Grease,Portable_T,Other_Wast,Capacity,Other_Wa_1,Capacity_D,Latitude,Longitude
-8828997.057,4329278.345,2013/09/27 00:00:00+00,2017/03/09 00:00:00+00,2019/03/01 00:00:00+00,1,SDTF-01-04,NCS-00726,Myers Septic Tank Company,Jerry,Byrd,(336)421-8700,P.O. Box 999,Haw River,NC,27258,Alamance,N,N,N,Y,N,"1,000.00",1,0,36.21,-79.31
-9031608.549,4284464.201,1996/02/22 00:00:00+00,2014/02/27 00:00:00+00,2019/02/27 00:00:00+00,2,SDTF-02-04,NCS-00104,Rowan Septic Tank & Ditching Co Inc,David R,Mecimore,(828) 632-4608,128 Taylorsville Mfg. Rd.,Taylorsville,NC,28681,Alexander,N,Y,Y,N,N,"5,000.00",5,0,35.88,-81.13
-9034645.345,4291822.765,1999/11/24 00:00:00+00,2015/06/04 00:00:00+00,2020/03/01 00:00:00+00,3,SDTF-02-05,NCS-00320,A Sani-Can,Warren,Miller,(828) 632-0788,80 W Main Ave,Taylorsville,NC,28681,Alexander,N,Y,Y,Y,N,"15,000.00",15,0,35.94,-81.16
-9054102.879,4274257.862,2000/09/13 00:00:00+00,2015/07/30 00:00:00+00,2020/03/24 00:00:00+00,4,SDTF-02-06,NCS-00927,A Sani-Can,Mark,Hull,(828) 495-8833,5803 Icard Ridge Road,Hickory,NC,28601,Alexander,N,Y,N,Y,N,325,0,0,35.81,-81.33
-9009049.654,4377466.2,2010/08/31 00:00:00+00,2017/04/04 00:00:00+00,2022/04/04 00:00:00+00,5,SDTF-03-04,NCS-01188,T-N-T Septic Service,Aaron,Robinson,(276) 236-6962,3572 Peppers Ferry Road,Wytheville,VA,24382,Alleghany,N,Y,Y,Y,N,"30,000.00",30,0,36.56,-80.93
-8914816.592,4168706.499,2002/06/10 00:00:00+00,2013/06/25 00:00:00+00,2018/06/25 00:00:00+00,6,SDTF-04-07,NCS-00874,Robinson's Septic Tank Cleaning,Robert,Vogler,(704) 694-3701,656 Little Duncan Road,Wadesboro,NC,28170,Anson,Y,N,Y,N,N,"17,000.00",17,0,35.04,-80.08
-8903577.777,4151046.376,2011/05/26 00:00:00+00,2017/12/20 00:00:00+00,2022/12/20 00:00:00+00,7,SDTF-04-08,NCS-01094,Smith Pumping Service,Ronnie,Oaks,(704) 848-8801,2323 Diggs Road,Wadesboro,NC,28170,Anson,Y,Y,Y,N,Y,"60,000.00",0,0,34.91,-79.98
-8580212.467,4252025.69,2000/09/06 00:00:00+00,2016/04/11 00:00:00+00,2021/04/11 00:00:00+00,8,SDTF-07-06,NCS-00826,Ray's Septic Service,Scott,Williamson,(252) 944-7737,1774 Wharton Station Rd.,Washington,NC,27889,Beaufort,Y,Y,Y,N,N,"44,000.00",44,0,35.65,-77.08
-8556783.054,4221731.98,2008/09/10 00:00:00+00,2015/03/09 00:00:00+00,2016/03/09 00:00:00+00,9,SDTF-07-08,NCS-01078,Garner Construction Company,Kenneth,Brabble,(252) 904-4584,212 Eagle Nest Trail #68,Blounts Creek,NC,27814,Beaufort,Y,N,N,Y,N,"1,000.00",1,0,35.42,-76.87
-8771972.535,4104715.567,1999/10/19 00:00:00+00,2013/05/23 00:00:00+00,2018/05/22 00:00:00+00,10,SDTF-09-07,NCS-00153,Sprinkle Inc.,Furnie V,Singletary,(910) 648-2228,PO Box 782,Bladenboro,NC,28320,Bladen,Y,Y,Y,Y,N,"50,000.00",50,0,34.56,-78.80
-8743937.834,4035873.828,1996/02/22 00:00:00+00,2014/11/04 00:00:00+00,2019/04/21 00:00:00+00,11,SDTF-10-12,NCS-00034,Don Jordan's Septic Tank Cleaning & Portable Toilet Rental,G Melton,Smith,(910) 231-5280,3785 Ash Little River Rd NW,Ash,NC,28420,Brunswick,Y,Y,N,N,N,"14,000.00",14,0,34.05,-78.55
-8707047.668,4029661.422,1996/06/25 00:00:00+00,2016/05/04 00:00:00+00,2017/05/04 00:00:00+00,12,SDTF-10-13,NCS-00033,Creech's Septic & Grease Trap Cleaning,Ryan,Hewett,(910) 842-6606,2166 Big Neck Road NW,Ash,NC,28420,Brunswick,N,Y,N,N,N,"10,000.00",10,0,34.01,-78.22
-8698706.499,4030864.685,1997/06/26 00:00:00+00,2015/12/16 00:00:00+00,2020/12/16 00:00:00+00,13,SDTF-10-18,NCS-00298,Creech's Septic & Grease Trap Cleaning,Mary,Cook,(910) 253-4689,PO Box 8,Bolivia,NC,28422,Brunswick,N,Y,Y,Y,N,"27,000.00",27,0,34.02,-78.14
-8710277.047,4018412.485,2003/08/22 00:00:00+00,2011/09/01 00:00:00+00,2016/09/01 00:00:00+00,14,SDTF-10-19,NCS-01002,Pearce Backhoe & Septic Tank Svc.,Bill,Jordan,(910) 256-2021,1630 Military Cutoff Rd,Wilmington,NC,28403,Brunswick,Y,N,N,Y,N,"1,000.00",1,0,33.92,-78.25
-9192154.632,4243034.867,1996/03/08 00:00:00+00,2016/05/24 00:00:00+00,2021/05/24 00:00:00+00,15,SDTF-11-01,NCS-00096,Eastside Septic Cleaning Service,Gary,Blankenship,(828) 254-1920,20 Brownwood Ave,Asheville,NC,28806,Buncombe,Y,Y,Y,N,N,"23,800.00",0,0,35.58,-82.57
-9071489.87,4251109.291,1996/09/18 00:00:00+00,2018/03/08 00:00:00+00,2023/03/08 00:00:00+00,16,SDTF-12-03,NCS-00928,Hardee's Septic Tank Service,Regan,Hudson,(828) 874-5147,7204 Old Laurel Rd,Vale,NC,28168,Burke,Y,Y,Y,Y,N,"120,000.00",0,0,35.64,-81.49
-9089070.557,4259733.881,2006/05/08 00:00:00+00,2016/06/29 00:00:00+00,2021/03/01 00:00:00+00,17,SDTF-12-06,NCS-00143,TNT Services Inc.,Ryan,Mull,(828) 437-0959,2416 Mt. Home Church Road,Morganton,NC,28655,Burke,N,Y,N,N,N,"10,000.00",10,0,35.70,-81.65
-9066009.612,4259850.402,2016/02/16 00:00:00+00,2017/05/18 00:00:00+00,2019/05/18 00:00:00+00,18,SDTF-12-07,NCS-00924,Stallings Septic Service,Dennis,Newton,(828) 397-5412,3989 Old Brittain Road,Hickory,NC,28602,Burke,Y,Y,N,N,N,"2,300.00",0,0,35.70,-81.44
-9112905.173,4264168.038,2017/06/30 00:00:00+00,2017/06/30 00:00:00+00,2018/06/30 00:00:00+00,19,SDTF-12-08,NCS-01403,Able Septic Tank Service,Chris,Daly,(863) 287-5410,P.O. Box 2310,Lake Wales,FL,33859,Burke,N,N,N,Y,N,"1,500.00",0,0,35.73,-81.86
-9080393.203,4273025.289,2008/07/02 00:00:00+00,2014/08/28 00:00:00+00,2019/08/28 00:00:00+00,20,SDTF-14-01,NCS-00240,A Pauls Septic Tank Service,Marshall & Darlene,Williams,(828) 728-7116,P.O. Box 546,Hudson,NC,28638,Caldwell,Y,Y,Y,N,N,"32,000.00",32,0,35.80,-81.57
-9058110.38,4288655.526,2010/12/22 00:00:00+00,2017/05/18 00:00:00+00,2022/05/18 00:00:00+00,21,SDTF-14-02,NCS-01142,Taylorsville Precast Molds Inc.,Barry,Sparks,(828)758-0330,5388 Fields Place,Lenoir,NC,28645,Caldwell,Y,N,Y,N,N,"13,000.00",13,0,35.91,-81.37
-8479546.251,4352092.609,2003/07/25 00:00:00+00,2013/11/26 00:00:00+00,2018/07/16 00:00:00+00,22,SDTF-15-02,NCS-00914,Brinson & Miller Inc.,Joseph,Russell,(252) 202-9969,134 Belcross Rd,Camden,NC,27921,Camden,N,Y,Y,Y,Y,"64,250.00",0,0,36.37,-76.17
-8565729.801,4135059.586,1996/02/22 00:00:00+00,2015/10/15 00:00:00+00,2020/12/20 00:00:00+00,23,SDTF-16-05,NCS-00207,Bennie A Moore Septic Tank Service Inc,Donald,Bryant,(252) 726-6761,123 Pete Rd,Newport,NC,28570,Carteret,N,Y,Y,N,N,"25,000.00",25,0,34.79,-76.95
-8576250.606,4123158.275,1997/07/11 00:00:00+00,2015/12/30 00:00:00+00,2020/12/30 00:00:00+00,24,SDTF-16-06,NCS-00645,Bennie A Moore Septic Tank Service Inc,Richard G,Taylor,(252) 393-6426,325 Barrington Ridge,Newport,NC,28570,Carteret,Y,Y,N,N,N,"12,000.00",12,0,34.70,-77.04
