FID,FID_,OVERSITE_P,SITE_NAME,SITE_ADD,SITE_CITY,SITE_ZIP,SITE_COUNT,LATITUDE,LONGITUDE,HOR_DATUM,COLLECT_ME,SITE_ID,ALT_SITE_N,SITE_MNGR,PHONE,EMAIL,EPA_INFO_L,DATE_OF_UP,DOC_LINK,x,y,GlobalID
77,,NPL,ABC One Hour Cleaners,2127 Lejeune Blvd.,Jacksonville,28546,Onslow,34.7414,-77.3666,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD024644494,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402718,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD024644494*%22},,,{3A1BE6C2-2CCE-4C83-B4DF-2B0346279D5C}
78,,NPL,Aberdeen Contaminated Ground Water,"Hwy 211, Old Pee Dee Rd, Blues Brg Rd",Aberdeen,28315,Moore,35.1224,-79.4025,,,NCN000407447,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0407447,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCN000407447*%22},,,{191E098B-5ABD-4A99-85D9-FDF36D25E01F}
79,,NPL,Aberdeen Pesticide Sites,Off Hwy 5,Aberdeen,28315,Moore,35.136656,-79.433988,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD980843346,Aberdeen Pesticide Dumps,George Adams,(919) 707-8131,george.adams@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403099,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD980843346*%22},,,{6012E026-565D-468B-8DB4-0621DE86C5DA}
80,,DOD,Army Reserve Center Durham,1228 Carroll Street,Durham,27707,Durham,35.98788,-78.91727,,,NONCD0003243,Durham ARC or Army Reserve Center,Sue Murphy,(919) 707-8354,sue.murphy@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0003243*%22},,,{A00C3B82-F5AE-4FEE-9192-0DA8B51EAB95}
81,,DOD,ARNG Morrisville,2051 National Guard Drive,Morrisville,27560,Wake,35.86459,-78.78037,,,NONCD0003242,,Sue Murphy,(919) 707-8354,sue.murphy@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0003242*%22},,,{C7CA0475-3007-4DD2-853A-2B16224C2B8B}
82,,DOD,ARNG Salisbury,1195 National Guard Road,Salisbury,28147,Rowan,35.64725,-80.52366,,,NONCD0003241,,Sue Murphy,(919) 707-8354,sue.murphy@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NONCD0003241*%22},,,{A318947C-9782-419D-A780-9EB523E12123}
83,,NPL,Barber Orchard,Barber Hill Drive,Waynesville,28786,Haywood,35.44583,-83.06388,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCSFN0406989,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406989,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCSFN0406989*%22},,,{053C1681-3EA5-4757-8193-F50B8F3151D8}
84,,NPL Cailber,Battery Tech (Duracell),305 U.S. Highway 64 East,Lexington,27292,Davidson,35.8321,-80.2329,,,NCD000648402,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD000648402*%22},,,{2B5BF53B-6FA0-43F0-99F3-BE6A3ADF90F0}
85,,NPL,"Benfield Industries, Inc.",172 Riverbend Street,Waynesville,28738,Haywood,35.47778,-83.00416,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD981026479,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403124,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD981026479*%22},,,{22ABB649-2DCD-491A-8F37-1A94CDC20A88}
86,,NPL,Blue Ridge Plating Company Incorporated,171 Glenn Bridge Rd,Arden,28704,Buncombe,35.46237,-82.52835,NAD27,INTERPOLATION-MAP,NCD044447589,Blue Ridge Plating Company ,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406895,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD044447589*%22},,,{4B9C498B-4795-465F-9793-6C2089E06F49}
