Fire Department,Chief / Captain,Address,City / State / Zip,County,Phone,Email Address,FDID,Address2,Latitude,Longtitude
"Advance Fire Department, Inc.",Rodney D Miller,P.O. Box 2430,"Advance, NC 27006",Davie,(336) 998-8181,rodneym@advancefiredepartment.org,3012,"P.O. Box 2430 Advance, NC 27006",35.9412419,-80.4096909
"French Broad Volunteer Fire & Rescue, Inc.",Matthew Keith Shelton,1283 Old Highway 20,"Alexander, NC 28701",Buncombe,(828) 683-3651,m.shelton@frenchbroadfire.com,1108,"1283 Old Highway 20 Alexander, NC 28701",35.701228,-82.6540425
"Guil-Rand Fire Protective Association, Inc.",Christopher Luke Richardson,10506 S. Main Street,"Archdale, NC 27263",Randolph,(336) 431-2512,Richardsonl@guil-randfire.com,7606,"10506 S. Main Street Archdale, NC 27263",35.9060095,-79.9573947
"Ulah Volunteer Fire Protective Association, Inc.",Charlotte  King,2067 Pisgah Covered Bridge Rd.,"Asheboro, NC 27205",Randolph,(336) 629-1966,kcharlotte1418@gmail.com,7614,"2067 Pisgah Covered Bridge Rd. Asheboro, NC 27205",35.6335475,-79.827442
"Westside Volunteer Fire and Rescue Department, Inc.",Recil J Williamson,P.O. Box 3217,"Asheboro, NC 27205",Randolph,(336) 625-1114,recilw@msn.com,7615,"P.O. Box 3217 Asheboro, NC 27205",35.7079146,-79.8136446
Asheville Fire Department,Scott T Burnette,P.O. Box 7148,"Asheville, NC 28802-7148",Buncombe,(828) 259-5636,stburnette@ashevillenc.gov,1101,"P.O. Box 7148 Asheville, NC 28802-7148",35.59399,-82.5557497
"Reynolds Volunteer Fire Department, Incorporated",Vincent Vellano Carter,235 Charlotte Highway,"Asheville, NC 28803",Buncombe,(828) 298-5200,vincecarter.reynoldsfire@gmail.com,1114,"235 Charlotte Highway Asheville, NC 28803",35.5516788,-82.4767027
Atkinson Fire Department,Lonnie J Turner,P.O. Box 159,"Atkinson, NC 28421",Pender,(910) 283-7911,avfd@att.net,7101,"P.O. Box 159 Atkinson, NC 28421",34.5285008,-78.171107
Atlantic Beach Fire Department,Michael Joseph Simpson,P.O. Box 10,"Atlantic Beach, NC 28512",Carteret,(252) 726-7361,firechief@atlanticbeach-nc.com,1634,"P.O. Box 10 Atlantic Beach, NC 28512",34.6990505,-76.7402108
"Bahama Volunteer Fire, Rescue, Ems Company, Inc.",Allen H Needham,P.O. Box 48,"Bahama, NC 27503",Durham,(919) 477-1561,needham@email.unc.edu,3201,"P.O. Box 48 Bahama, NC 27503",36.1659762,-78.8766738
"Bailey Fire Department, Green Hornet Fire District, Inc.",Chad Scott Bissette,PO Box 816,"Bailey, NC 27807",Nash,(252) 235-4643,Greenhorn804@hotmail.com,6401,"PO Box 816 Bailey, NC 27807",35.780712,-78.1188808
"Bat Cave Volunteer Fire and Rescue Department, Inc.",Richard  Barnwell,P.O. Box 11,"Bat Cave, NC 28710",Henderson,(828) 243-9163,rbarnwell2101@gmail.com,4501,"P.O. Box 11 Bat Cave, NC 28710",35.4509037,-82.284831
"Bath Volunteer Fire Department, Inc.",John A Taylor,Post Office Box 272,"Bath, NC 27808",Beaufort,(252) 943-9212,BathVFD@bathvfd.org,702,"Post Office Box 272 Bath, NC 27808",35.4771094,-76.8116045
"Battleboro Rural Fire Department, H. L. Harrison Fire District, Inc.",James E. Hardee,P.O. Box 607,"Battleboro, NC 27809",Nash,(252) 446-6961,bcvfd09@gmail.com,6402,"P.O. Box 607 Battleboro, NC 27809",36.0487537,-77.7487213
Beaufort Fire Dept.,Anthony L. Ray,506 Live Oak Street,"Beaufort, NC 28516",Carteret,(252) 728-4325,t.ray@beaufortnc.org,1654,"Beaufort, NC 28516",34.7182174,-76.6638186
Sidney Volunteer Fire Department Inc.,William S Leighty,6755 N. Savannah Rd,"Belhaven, NC 27810",Beaufort,(252) 943-5947,sidneyfirest@gotricounty.com,716,"6755 N. Savannah Rd Belhaven, NC 27810",35.4678425,-76.6381953
Belmont Fire Department,George E. Altice,301 Keener Blvd.,"Belmont, NC 28012",Gaston,(704) 825-0502,galtice@belmontfiredept.com,3603,"301 Keener Blvd. Belmont, NC 28012",35.2359365,-81.0350506
Biscoe Fire Department,Sammy Ray Stewart,110 W. Main Street,"Biscoe, NC 27209",Montgomery,(910) 428-4541,sam.stewart@townofbiscoe.com,6203,"110 W. Main Street Biscoe, NC 27209",35.3602172,-79.782127
"Sunset Harbor and Zion Hill Volunteer Fire Department, Inc.",Rob  Johnson,2706 Sunset Harbor Road,"Bolivia, NC 28422",Brunswick,(910) 842-9449,shzhvfd@atmc.net,1017,"2706 Sunset Harbor Road Bolivia, NC 28422",33.9549299,-78.2116051
"Buckhead Volunteer Fire Department and Rescue Squad, Inc.",Payton P Jacobs,6810 Old Lake Rd.,"Bolton, NC 28423",Columbus,(910) 655-8940,buckhead6810@att.net,2404,"6810 Old Lake Rd. Bolton, NC 28423",34.3736626,-78.4107496
"Boomer Volunteer Fire Department, Inc.",Allen L Nichols,5990 S. NC Hwy 18,"Boomer, NC 28606",Wilkes,(336) 921-3010,station3900@gmail.com,9702,"5990 S. NC Hwy 18 Boomer, NC 28606",36.0571564,-81.2678427
Brasstown Fire Department,Paulette M Tonielli,P.O. Box 55,"Brasstown, NC 28902",Clay,(828) 837-2819,brasstownfire@hotmail.com,2203,"P.O. Box 55 Brasstown, NC 28902",35.0390699,-83.9576097
Bryson City Fire Department,Charles  Bryson,PO Box 726,"Bryson City, NC 28713",Swain,(828) 359-6152,brysoncityfire@gmail.com,8701,"PO Box 726 Bryson City, NC 28713",35.4309291,-83.4473809
"Flat Branch Volunteer Fire Department, Inc.",Joseph M Brown,2098 Elliott Bridge Rd.,"Bunnlevel, NC 28323",Harnett,(910) 893-3504,flatbranchfire@embarqmail.com,4308,"2098 Elliott Bridge Rd. Bunnlevel, NC 28323",35.3124854,-78.8831568
Burgaw Fire Department,"James  ""Jim"" Taylor",109 N. Walker Street,"Burgaw, NC 28425",Pender,(910) 663-3480,jtaylor@townofburgaw.com,7102,"109 N. Walker Street Burgaw, NC 28425",34.5525081,-77.9260742
"Pender EMS and Fire, Inc",Woodrow W Sullivan,805 Ridgewood Ave.,"Burgaw, NC 28425",Pender,(910) 259-0891,wsullivan@penderems.com,7114,"805 Ridgewood Ave. Burgaw, NC 28425",34.5585444,-77.9165225
"Calabash Fire Department, Inc.",Randall  Bork,892 Persimmson Road,"Calabash, NC 28467",Brunswick,(910) 579-2355,bork32@triad.rr.com,1003,"892 Persimmson Road Calabash, NC 28467",33.8929488,-78.5664993
"Center Pigeon Volunteer Fire Department, Incorporated",Johnny Hugh Pless,2412 Pisgah Drive,"Canton, NC 28716",Haywood,(828) 648-0810,admin@centerpigeonfire.org,4402,"2412 Pisgah Drive Canton, NC 28716",35.504261,-82.8555857
Carrboro Fire Department,David A Schmidt,301 W. Main Street,"Carrboro, NC 27510",Orange,(919) 918-7347,dschmidt@townofcarrboro.org,6801,"301 W. Main Street Carrboro, NC 27510",35.910969,-79.0773507
"Cedar Grove Fire Department, Inc.",Jeff  Borland,720 Hawkins Road,"Cedar Grove, NC 27231",Orange,(919) 732-9585,jborland601@yahoo.com,6808,"720 Hawkins Road Cedar Grove, NC 27231",36.2047982,-79.1289665
Charlotte Fire Department,Reginald T. Johnson,500 Dalton Avenue,"Charlotte, NC 28206",Mecklenburg,(704) 336-2791,Reginald.Johnson@ci.charlotte.nc.us,6002,"500 Dalton Avenue Charlotte, NC 28206",35.2401786,-80.8361354
"Robinson Volunteer Fire Department and Rescue, Inc.",Robert L Honeycutt,8602 First Run Ct.,"Charlotte, NC 28215",Mecklenburg,(704) 536-6876,retiredfire40@gmail.com,6009,"8602 First Run Ct. Charlotte, NC 28215",35.2281549,-80.6774038
"Mint Hill Volunteer Fire Department, Inc.",David A Leath,P.O. Box 23065,"Charlotte, NC 28227",Mecklenburg,(704) 545-4866,dleath@fire.minthill.com,6015,"P.O. Box 23065 Charlotte, NC 28227",35.2270869,-80.8431267
Cherryville Fire Department,Jeffery C Cash,411 East Church Street,"Cherryville, NC 28021",Gaston,(704) 435-1730,jcash@cityofcherryville.com,3607,"411 East Church Street Cherryville, NC 28021",35.3839317,-81.3757291
"Hugh's Pond Volunteer Fire Department, Inc.",Aaron E. Vance,P.O. Box 63,"Cherryville, NC 28021",Gaston,(704) 435-5642,hughspond@yahoo.com,3614,"P.O. Box 63 Cherryville, NC 28021",35.3789361,-81.3795737
"Atwell Township Fire Department, Incorporated",Tim R Beaver,P. O. Box 862,"China Grove, NC 28023",Rowan,(704) 855-3240,tbeaver@bestco.com,8040,"P. O. Box 862 China Grove, NC 28023",35.569306,-80.5817318
"Roseland Volunteer Fire Department, Inc.",George A Fipps,Post Office Box 279,"Clarendon, NC 28432",Columbus,(910) 840-4034,lenfipps@centurylink.net,2418,"Post Office Box 279 Clarendon, NC 28432",34.1769847,-78.7362845
Clayton Fire Department,Halbert L Barbee,P.O. Box 879,"Clayton, NC 27528",Johnston,(919) 553-1755,lbarbee@townofclaytonnc.org,5108,"P.O. Box 879 Clayton, NC 27528",35.65,-78.4599999
"The Clemmons Fire Department, Inc.",Jerry A. Brooks,Post Office Box 36,"Clemmons, NC 27012",Forsyth,(336) 766-4114,jabrooks@clemmonsfd.com,3404,"Post Office Box 36 Clemmons, NC 27012",36.0215258,-80.3819984
"Cleveland Community Volunteer Fire Department, Inc.",Matthew K Payne,PO Box 452,"Cleveland, NC 27013",Rowan,(704) 278-4300,kennypayne@bellsouth.net,8045,"PO Box 452 Cleveland, NC 27013",35.7331953,-80.6770111
"Rowan-Iredell Voluntary Fire Department, Incorporated",Jered Mark Webb,5757 Chenault Road,"Cleveland, NC 27013",Rowan,(704) 278-0036,rivfdsta72@gmail.com,8072,"5757 Chenault Road Cleveland, NC 27013",35.8111221,-80.7093786
"Climax Volunteer Fire Department, Inc.",Gary W McGee,P.O. Box 51,"Climax, NC 27233",Guilford,(336) 674-0880,gmcgee@climaxfire.com,4103,"P.O. Box 51 Climax, NC 27233",35.9128932,-79.7176482
"Coats-Grove Fire & Rescue, Inc.",Franklin Cleo Hobson,P.O. Box 835,"Coats, NC 27521",Harnett,(910) 897-7575,district6chief@coatsfd.org,4305,"P.O. Box 835 Coats, NC 27521",35.4079393,-78.6719592
"Colfax Volunteer Fire Department, Inc.",Dennis W Robinson,P.O. Box 370,"Colfax, NC 27235",Guilford,(336) 993-4931,drobinson@colfaxfire.com,4104,"P.O. Box 370 Colfax, NC 27235",36.1124775,-80.0151116
"Flowe's Store Volunteer Fire Department, Inc.",Joey H Houston,8623 Flowes Store Road,"Concord, NC 28025",Cabarrus,(704) 786-2326,jhouston@flowesstorefd.org,1304,"8623 Flowes Store Road Concord, NC 28025",35.2979354,-80.558194
"Cold Water Volunteer Fire Department, Inc.",James R Preddy,1830 Gold Hill Rd.,"Concord, NC 28026",Cabarrus,(704) 782-2514,jpreddy1201@gmail.com,1302,"1830 Gold Hill Rd. Concord, NC 28026",35.420635,-80.5466663
Concord Fire Department,Jacob  Williams,100 Warren C. Coleman Blvd.,"Concord, NC 28026",Cabarrus,(704) 920-5516,williamj@concordnc.gov,1303,"100 Warren C. Coleman Blvd. Concord, NC 28026",35.398472,-80.6066468
"Odell Volunteer Fire Department, Inc.",Jacob  Williams,9051 Davidson Highway,"Concord, NC 28027",Cabarrus,(704) 788-3004,jake.williams@odellfirerescue.com,1314,"9051 Davidson Highway Concord, NC 28027",35.4402353,-80.7294
George Hildebran Fire and Rescue Department Inc.,Bobby W Craig,7470 George Hildebran School Rd.,"Connelly Springs, NC 28612",Burke,(828) 874-4610,bobbycraig73@gmail.com,1273,"7470 George Hildebran School Rd. Connelly Springs, NC 28612",35.6507136,-81.5042197
"South Mountains Fire Rescue, Inc.",Allen  Hudson,8204 Gus Peeler Rd.,"Connelly Springs, NC 28612",Burke,(828) 448-1087,smfd56@att.net,1279,"8204 Gus Peeler Rd. Connelly Springs, NC 28612",35.5829812,-81.5629205
