Name,Type,Latitude,Logitude
Alligator River,Stream,35.9671,-75.9816
Ararat River,Stream,36.286,-80.5481
Bay River,Stream,35.1663,-76.5291
Black River,Stream,35.2079,-78.6303
Black River,Stream,34.3318,-78.0325
Blood River,Stream,35.9118,-82.8485
Brunswick River,Stream,34.1799,-77.9617
Calabash River,Stream,33.8774,-78.5758
Cane River,Stream,36.0287,-82.3268
Cape Fear River,Stream,33.8855,-78.0128
Cashie River,Stream,35.9396,-76.7274
Cheoah River,Stream,35.4481,-83.9396
Chowan River,Stream,36.0165,-76.6619
Cullasaja River,Stream,35.1751,-83.3696
Davidson River,Stream,35.2526,-82.6937
Deep River,Stream,35.5965,-79.0531
East Fork Deep River,Stream,36.0204,-79.94
East Fork Eno River,Stream,36.1282,-79.1581
East Fork French Broad River,Stream,35.1362,-82.8112
East Fork Pigeon River,Stream,35.479,-82.8821
East Fork South Fork New River,Stream,36.2032,-81.6496
East Fork South River,Stream,34.891,-76.5208
East Prong Little Yadkin River,Stream,36.3235,-80.4017
East Prong Lower Little River,Stream,35.9962,-81.2345
East Prong Roaring River,Stream,36.2701,-81.0615
Eastmost River,Stream,35.9416,-76.7105
Elizabeth River,Stream,33.9018,-78.0322
Eno River,Stream,36.0949,-78.8133
First Broad River,Stream,35.1935,-81.6243
Fisher River,Stream,36.2674,-80.6926
Flat River,Stream,36.0949,-78.8133
Green River,Stream,35.2582,-81.9696
Haw River,Stream,35.5965,-79.052
Horsepasture River,Stream,35.0301,-82.9171
Hungry River,Stream,35.2832,-82.3585
Johns River,Stream,35.7793,-81.6532
Left Fork Swannanor River,Stream,35.7029,-82.3301
Left Prong Catawba River,Stream,35.6118,-82.2218
Left Prong South Toe River,Stream,35.711,-82.2504
Linville River,Stream,35.746,-81.8365
Little Alligator River,Stream,35.9374,-76.0133
Little Dan River,Stream,36.5379,-80.3787
Little East Fork Pigeon River,Stream,35.4279,-82.9182
Little First Broad River,Stream,35.5323,-81.794
Little Fisher River,Stream,36.4218,-80.7012
Little Hungry River,Stream,35.3187,-82.3468
Little Marsh River,Stream,35.3582,-77.8172
Little River,Stream,35.5954,-81.5918
Little River,Stream,36.5096,-77.8603
Little River,Stream,36.6051,-81.0623
Little River,Stream,36.4799,-77.6886
Little River,Stream,35.2651,-82.6407
Little River,Stream,35.0943,-79.9112
Little River,Stream,35.3766,-78.0253
Little River,Stream,36.0718,-78.8442
Little River,Stream,35.2568,-78.7034
Little River,Stream,36.1124,-76.1727
Little Toe River,Stream,35.6146,-82.1176
Little Uwharrie River,Stream,35.7629,-79.9903
Little Yadkin River,Stream,36.2443,-80.4553
Lockwoods Folly River,Stream,33.9177,-78.2361
Long Shoal River,Stream,35.5771,-75.8682
Lower Little River,Stream,35.8276,-81.1579
Mayo River,Stream,36.3901,-79.952
Meherrin River,Stream,36.4315,-76.948
Middle Fork French Broad River,Stream,35.1362,-82.8135
Middle Fork Reddies River,Stream,36.2404,-81.2881
Middle Fork South Fork New River,Stream,36.2049,-81.6498
Middle Little River,Stream,35.8162,-81.2531
Middle Prong Roaring River,Stream,36.2949,-81.0962
Middle Prong West Fork Pigeon River,Stream,35.3737,-82.9374
Middle River,Stream,34.0338,-78.3067
Middle River,Stream,35.9329,-76.7344
Mills River,Stream,35.3887,-82.5321
Mitchell River,Stream,36.2754,-80.7695
Nantahala River,Stream,35.3834,-83.5652
Neuse River,Stream,35.1313,-76.5038
New Hope River,Stream,35.6577,-79.0706
