OBJECTID1,HUC_8,HUC_10,HUC_12,ACRES,HU_10_NAME,HU_12_NAME,Basin,DWQ_Basin,Population,Shape__Area,Shape__Length,POP_2010,POP_2000,AREA,POP_CHG_10_20,POP_CHG_00_10,lat,long
1223,3010205,301020517,30102051704,9707.63,Sand Ridge-Bodie Island,Town of Kitty Hawk-Oceanside Seashore,PAS,Pasquotank,42,1718617.504,82899.35362,34,63,,8,-29,36.07033869,-75.73192833
880,3040206,304020607,30402060704,13189.17,Buck Creek-Waccamaw River,Bellamy Branch-Waccamaw River,LBR,Lumber,10,7408146.18,20189.90561,15,26,1.962927965,-5,-11,33.6959905,-78.9224708
913,3040206,304020606,30402060604,8145.24,Gore Creek-Waccamaw River,Bear Branch-Waccamaw River,LBR,Lumber,691,48167611.73,43549.9533,816,728,12.72692173,-125,88,33.6959905,-78.9224708
934,3040206,304020603,30402060306,27875.29,Headwaters Waccamaw River,Boggy Swamp-Waccamaw River,LBR,Lumber,494,165479031.8,91267.17047,603,548,43.55513189,-109,55,33.6959905,-78.9224708
879,3040208,304020803,30402080302,6399.6,Little River,Calabash Creek,LBR,Lumber,4820,37512767.83,36511.0462,3898,2401,9.952936151,922,1497,33.8911546,-78.5670571
929,3040208,304020802,30402080205,7321.44,Shallotte River,Holden Beach-Shallotte Inlet,LBR,Lumber,70,2013405.535,38510.61183,26,44,0.534168481,44,-18,33.9043392,-78.3811146
945,3040208,304020802,30402080202,12294.12,Shallotte River,Middle Shallotte River,LBR,Lumber,4052,72531895.77,48314.91581,3679,2485,19.20956866,373,1194,33.9057282,-78.3786145
959,3040208,304020802,30402080204,24525.43,Shallotte River,Lower Shallotte River,LBR,Lumber,12535,144499560.4,87296.55528,11116,8765,38.30242001,1419,2351,33.9057282,-78.3786145
976,3040208,304020802,30402080201,9136.42,Shallotte River,Upper Shallotte River,LBR,Lumber,2217,53868973.21,35909.98624,1784,826,14.27565925,433,958,33.9057282,-78.3786145
122,3030005,303000508,30300050803,25484.14,Walden Creek-Cape Fear River,Town of Southport-Cape Fear River,CPF,Cape Fear,4563,150138181,59811.92385,4043,3500,39.8168705,520,543,33.9182092,-78.0193011
941,3040208,304020801,30402080102,12056.14,Lockwoods Folly River,Headwaters Lockwoods Folly River,LBR,Lumber,585,71299856.73,48091.01699,718,632,18.83771952,-133,86,33.9214355,-78.2475396
914,3040208,304020802,30402080203,7879.28,Shallotte River,Shallotte Creek,LBR,Lumber,4000,46453457.73,33350.85338,3997,3296,12.31138038,3,701,33.9273947,-78.3605582
201,3030005,303000508,30300050802,16444.39,Walden Creek-Cape Fear River,Jump and Run Creek-Gully Creek,CPF,Cape Fear,14565,96943859.12,52953.16147,9395,5475,25.69435358,5170,3920,33.9493797,-78.0619826
928,3040206,304020607,30402060701,25907.35,Buck Creek-Waccamaw River,Cawcaw Swamp,LBR,Lumber,11961,145372861.6,73796.80883,8854,5024,38.52674899,3107,3830,33.9627472,-78.5660539
896,3040208,304020801,30402080106,16729.59,Lockwoods Folly River,Pamlico Creek-Lockwoods Folly River,LBR,Lumber,6796,98687908.88,54844.17124,5691,3820,26.13998237,1105,1871,33.9721885,-78.2746637
334,3040102,304010202,30401020204,21902.02,Hunting Creek,Upper Hunting Creek,YAD,Yadkin Pee Dee,1913,135861297.5,75937.97679,1927,1793,34.22190102,-14,134,33.993991,-84.0415758
402,3040102,304010202,30401020206,12863.83,Hunting Creek,Lower Hunting Creek,YAD,Yadkin Pee Dee,1321,79491906.01,51508.81114,1353,1283,20.09972852,-32,70,33.993991,-84.0415758
918,3040208,304020801,30402080104,11221.26,Lockwoods Folly River,Scotts Branch-Lockwoods Folly River,LBR,Lumber,2078,66268815.55,40852.06981,1100,769,17.53321128,978,331,33.995719,-78.2262531
198,3030005,303000507,30300050704,14978.35,Liliput Creek-Cape Fear River,Town of Kure Beach-Cape Fear River,CPF,Cape Fear,7992,88457799.59,49551.63969,6794,5128,23.40365388,1198,1666,33.9968399,-77.9072081
158,3030005,303000507,30300050703,13234.2,Liliput Creek-Cape Fear River,Orton Creek,CPF,Cape Fear,1115,78156620.08,57339.96554,1147,771,20.67844223,-32,376,34.0042597,-78.04094
953,3040208,304020801,30402080103,20178.5,Lockwoods Folly River,Royal Oak Swamp,LBR,Lumber,1039,119255820.8,52102.19586,1077,909,31.52891201,-38,168,34.0236929,-78.3024073
903,3040206,304020606,30402060603,19766.69,Gore Creek-Waccamaw River,Wet Ash Swamp,LBR,Lumber,1023,116772979.6,52181.76311,1159,1005,30.88545578,-136,154,34.0341476,-78.4986341
873,3040206,304020606,30402060605,8272.57,Gore Creek-Waccamaw River,Regan Branch-Waccamaw River,LBR,Lumber,325,48873186.95,34351.64055,342,281,12.92589233,-17,61,34.0350162,-78.5554378
1586,3020302,302030205,30203020501,6710.18,Masonboro Inlet-Mason Inlet,Everett Creek-Carolina Beach Inlet,WOK,White Oak,9467,39697671.04,35266.26146,7445,6119,,2022,1326,34.0351726,-77.8935966
134,3030005,303000507,30300050701,15906.06,Liliput Creek-Cape Fear River,Liliput Creek,CPF,Cape Fear,4779,94004944.65,64176.29113,4217,2274,24.85321372,562,1943,34.074775,-77.9724362
104,3030004,303000403,30300040303,12808.54,Headwaters Little River,Crystal Lake-Mill Creek,CPF,Cape Fear,9558,77829607.07,45811.68616,8066,7968,20.01334929,1492,98,34.0985047,-78.0863819
271,3040101,304010113,30401011301,20905.91,Muddy Creek,Mill Creek,YAD,Yadkin Pee Dee,50393,130082293.1,69194.10541,48044,44141,32.66548698,2349,3903,34.0985047,-78.0863819
799,3040201,304020103,30402010303,12244.11,Marks Creek-Pee Dee River,Mill Creek,YAD,Yadkin Pee Dee,831,73750061.47,48750.41983,1177,1202,19.13142155,-346,-25,34.0985047,-78.0863819
900,3040208,304020801,30402080105,8014.01,Lockwoods Folly River,Mill Creek,LBR,Lumber,918,47272242.14,34396.34918,664,409,12.52188374,254,255,34.0985047,-78.0863819
1030,3010201,301020112,30102011205,24132.93,Mill Creek-Nottoway River,Mill Creek,CHO,Chowan,9,3593754.707,15765.86659,12,11,0.893884821,-3,1,34.0985047,-78.0863819
1407,3020201,302020113,30202011303,19091.51,Mill Creek,Upper Mill Creek,NEU,Neuse,2673,116226256,53333.87858,2567,2208,,106,359,34.0985047,-78.0863819
1433,3020204,302020403,30202040301,23049.86,Lower Trent River,Mill Creek,NEU,Neuse,297,139215738.2,55262.14647,373,435,,-76,-62,34.0985047,-78.0863819
1444,3020201,302020113,30202011305,19780.3,Mill Creek,Middle Mill Creek,NEU,Neuse,1672,120476297.6,59292.0266,1570,1365,,102,205,34.0985047,-78.0863819
911,3040206,304020605,30402060503,11407.98,Seven Creeks,Toms Fork,LBR,Lumber,1112,52284543.12,30725.7893,1442,1446,13.8039203,-330,-4,34.1037468,-78.7858667
943,3040206,304020604,30402060404,9304.46,Juniper Creek-Waccamaw River,Alligator Swamp,LBR,Lumber,225,55065093.96,33625.62733,267,233,14.5382067,-42,34,34.1113509,-78.4695097
978,3040206,304020606,30402060601,14504.84,Gore Creek-Waccamaw River,Horse Pen Swamp-Waccamaw River,LBR,Lumber,503,85905247.2,64935.98473,596,592,22.66376099,-93,4,34.1140142,-78.5178071
906,3040206,304020605,30402060502,28709.24,Seven Creeks,Headwaters Monie Swamp,LBR,Lumber,3318,170376240.3,86244.81509,3672,3257,44.85819015,-354,415,34.1296209,-78.6994316
947,3040206,304020605,30402060505,30724.44,Seven Creeks,Monie Swamp-Grissett Swamp,LBR,Lumber,4140,179691034.4,94534.20707,4312,4026,47.40503523,-172,286,34.1296209,-78.6994316
932,3040206,304020604,30402060401,9459.14,Juniper Creek-Waccamaw River,Bear Pen Islands Swamp,LBR,Lumber,12,56024069.84,42962.72455,4,3,14.78001001,8,1,34.1332256,-78.342225
192,3030005,303000506,30300050602,28527.07,Town Creek,Bell Swamp-Rice Creek,CPF,Cape Fear,2284,168803569.6,72385.53663,2466,2144,44.57354879,-182,322,34.1332265,-78.0961046
1682,3010103,301010304,30101030402,16547.19,Mayo River,Russell Creek,ROA,Roanoke,79,6279623.117,14924.34928,75,72,,4,3,34.1373929,-78.1163832
52,3030004,303000405,30300040506,16671.38,Buies Creek-Cape Fear River,Juniper Creek-Cape Fear River,CPF,Cape Fear,7072,101601375.2,59354.87101,7007,6816,26.04903007,65,191,34.1507735,-78.4606859
47,3030005,303000506,30300050603,17585.3,Town Creek,Lower Town Creek,CPF,Cape Fear,3005,104165585.6,61702.51299,2150,1063,27.47702511,855,1087,34.1651705,-78.0930491
119,3030005,303000506,30300050601,34295.07,Town Creek,Upper Town Creek,CPF,Cape Fear,1824,203270228.6,61667.15084,1814,1670,53.58605671,10,144,34.1651705,-78.0930491
1234,3020103,302010301,30201030102,14576.58,Town Creek,Upper Town Creek,TAR,Tar-Pamlico,2404,89926307.38,46455.71255,2516,2186,,-112,330,34.1651705,-78.0930491
1257,3020103,302010301,30201030107,11354.76,Town Creek,Lower Town Creek,TAR,Tar-Pamlico,2095,70005936.93,50767.37844,2460,2297,,-365,163,34.1651705,-78.0930491
1703,3010103,301010309,30101030901,22530.7,Cascade Creek-Dan River,Town Creek-Dan River,ROA,Roanoke,6251,141271521.7,58220.53149,6299,6042,,-48,257,34.1651705,-78.0930491
341,3040104,304010405,30401040502,14296.45,Pee Dee River-Blewett Falls Lake,Dry Creek-Pee Dee River,YAD,Yadkin Pee Dee,125,86650538.23,56658.18306,84,122,22.33820438,41,-38,34.1715296,-79.536862
845,3040201,304020103,30402010306,10209.14,Marks Creek-Pee Dee River,Whortleberry Creek-Pee Dee River,YAD,Yadkin Pee Dee,85,27477167.98,24251.22365,94,91,7.132857012,-9,3,34.1715296,-79.536862
866,3040201,304020103,30402010304,29795.58,Marks Creek-Pee Dee River,Island Creek-Pee Dee River,YAD,Yadkin Pee Dee,727,179754900.9,105241.6676,887,940,46.55559861,-160,-53,34.1715296,-79.536862
889,3040204,304020405,30402040501,11042.57,Middle Little Pee Dee River,Carolina Branch-Little Pee Dee River,LBR,Lumber,9,3216117.441,11852.67729,9,7,0.839653652,0,2,34.1715296,-79.536862
