X,Y,OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE
-78.5794,35.5123,22816,5112,"50 - 210 Community Fire Department, Inc.",1,50 Greenfield Rd,Angier,NC,Johnston,27501,35.51,-78.58
-78.6366,35.5602,22817,5112,"50 - 210 Community Fire Department, Inc.",2,3715 Jackson King Rd,Willow Spring,NC,Johnston,27592,35.56,-78.64
-78.5937,35.5603,22818,5112,"50 - 210 Community Fire Department, Inc.",3,13954 NC Hwy 50 N,Angier,NC,Johnston,27501,35.56,-78.59
-79.42266397,35.14172714,22819,6341,Aberdeen Fire Department,1,800 Holly St.,Aberdeen,NC,Moore,28315,35.14,-79.42
-79.3875,35.11609,22820,6341,Aberdeen Fire Department,2,10861 NC 211 Hwy Est,Aberdeen,NC,Moore,28315,35.12,-79.39
-78.224562,34.340834,22821,2401,"Acme-Delco-Riegelwood Fire-Rescue, Inc.",1,100 John Riegel Road,Riegelwood,NC,Columbus,28456,34.34,-78.22
-78.2783,34.2687,22822,2401,"Acme-Delco-Riegelwood Fire-Rescue, Inc.",2,4328 Livingston Chapel Road,Delco,NC,Columbus,28436,34.27,-78.28
-78.29174,34.3776,22823,2401,"Acme-Delco-Riegelwood Fire-Rescue, Inc.",3,1795 Woodyard Rd,Riegelwood,NC,Columbus,28456,34.38,-78.29
-80.4127,35.9455,22824,3012,"Advance Fire Department, Inc.",1,1869 S. NC 801 Hwy.,Advance,NC,Davie,27006,35.95,-80.41
-80.4097,35.9453,22825,3012,"Advance Fire Department, Inc.",2,169 Fire Station Rd. (satelite station),Advance,NC,Davie,27006,35.95,-80.41
-78.2195,36.3135,22826,9301,"Afton-Elberon Volunteer Fire Department, Inc.",1,2350 US Highway 401 South,Warrenton,NC,Warren,27589,36.31,-78.22
-81.232,35.3285,22827,3601,Agriculture Center Volunteer Fire Department Inc.,1,1428 Costner School Road,Bessemer City,NC,Gaston,28016,35.33,-81.23
-76.98391922,36.28166884,22828,4601,Ahoskie Fire Department,1,301 S. Martin Luther King Jr. Boulevard,Ahoskie,NC,Hertford,27910,36.28,-76.98
-76.99192682,36.28840487,22829,4610,"Ahoskie Rural Volunteer Fire Department, Inc.",1,609 West Main St.,Ahoskie,NC,Hertford,27910,36.29,-76.99
-79.70762956,36.02020909,22830,4101,"Alamance Community Fire District, Inc.",1,4108 Presbyterian Rd.,Greensboro,NC,Guilford,27407,36.02,-79.71
-79.6889,35.9861,22831,4101,"Alamance Community Fire District, Inc.",2,4831 Blakeshire Rd.,Greensboro,NC,Guilford,27406,35.99,-79.69
-83.4542,35.3586,22832,8704,"Alarka Volunteer Fire Department, Inc.",1,3601 Alarka Road,Bryson City,NC,Swain,28713,35.36,-83.45
-80.17176397,35.35007635,22833,8401,Albemarle Fire Department,1,1610 E. Main Street,Albemarle,NC,Stanly,28002,35.35,-80.17
-80.21616794,35.3548878,22834,8401,Albemarle Fire Department,2,607 Concord Rd,Albemarle,NC,Stanly,28001,35.35,-80.22
-80.19111342,35.38593531,22835,8401,Albemarle Fire Department,3,209 Northeast Connector,Albemarle,NC,Stanly,28001,35.39,-80.19
-77.8199,35.1134,22836,3101,Albertson Volunteer Fire Department,1,732 Sheep Pasture Rd,Albertson,NC,Duplin,28508,35.11,-77.82
-81.1139,35.3972,22837,3602,"Alexis Volunteer Fire Department, Inc.",1,4221 NC 27 Hwy.,Alexis,NC,Gaston,28006,35.40,-81.11
-81.08677085,35.4624728,22838,3602,"Alexis Volunteer Fire Department, Inc.",2,4639 Old Plank Road,Iron Station,NC,Gaston,28080,35.46,-81.09
-80.54182146,35.36143875,22839,1301,"Allen Volunteer Fire Department, Inc.",1,4000 US Hwy 601 South,Concord,NC,Cabarrus,28025,35.36,-80.54
-80.40707662,34.91136481,22840,9001,"Allens Crossroads Volunteer Fire Department, Inc.",1,5408 White Store Road,Wingate,NC,Union,28174,34.91,-80.41
-78.86510647,36.38886514,22841,7307,"Allensville Volunteer Fire Department, Inc.",1,1344 Denny's Store Road,Roxboro,NC,Person,27574,36.39,-78.87
-78.92298198,34.59204985,22842,7801,"Allenton Volunteer Fire Department, Inc.",1,6815 NC 211 East ,Lumberton,NC,Robeson,28358,34.59,-78.92
-78.90266245,34.51571326,22843,7801,"Allenton Volunteer Fire Department, Inc.",2,3937 Willoughby Road,Lumberton,NC,Robeson,28358,34.52,-78.90
-79.5137,36.1793,22844,101,"Altamahaw-Ossippee Fire Department, Inc.",1,2806 Old 87 Hwy,Elon,NC,Alamance,27244,36.18,-79.51
-79.51230192,36.22252969,22845,101,"Altamahaw-Ossippee Fire Department, Inc.",2,4168 Stoney Creek Church Rd,Elon,NC,Alamance,27244,36.22,-79.51
-78.9559,35.25516584,22846,4301,"Anderson Creek Emergency Services, Inc.",1,6400 Overhill Road,Spring Lake,NC,Harnett,28390,35.26,-78.96
-79.34084099,36.26594758,22847,1709,"Anderson Township Volunteer Fire Department, Inc.",1,225 Baynes Road,Burlington,NC,Caswell,27217,36.27,-79.34
-79.35271265,36.31583084,22848,1709,"Anderson Township Volunteer Fire Department, Inc.",2,6774 NC Hwy 62 South,Yanceyville,NC,Caswell,27379,36.32,-79.35
-83.82396822,35.19916411,22849,2001,Andrews Fire Department,1,85 Fourth Street,Andrews,NC,Cherokee,28901,35.20,-83.82
-78.7394,35.5117,22850,4302,"Angier & Black River Fire Department, Inc.",1,309 North Broad St. East,Angier,NC,Harnett,27501,35.51,-78.74
-80.10787166,35.10614201,22851,401,"Ansonville Volunteer Fire Department, Inc.",1,9145 NC 52 Hwy ,Ansonville,NC,Anson,28007,35.11,-80.11
-78.228497,35.679477,22852,5101,"Antioch Fire Department, Incorporated",1,106668 NC Highway 42,Middlesex,NC,Johnston,27557,35.68,-78.23
-78.24584443,35.69510415,22853,5101,"Antioch Fire Department, Incorporated",2,8604 Hwy 39 N,Middlesex,NC,Johnston,27557,35.70,-78.25
-78.55026904,36.28599622,22854,3913,"Antioch-Fishing Creek Volunteer Fire Department, Incorporated",1,5065 Antioch Road,Oxford,NC,Granville,27565,36.29,-78.55
-78.85051073,35.73183453,22855,9205,Apex Fire Department,1,210 N Salem St,Apex,NC,Wake,27502,35.73,-78.85
-78.93154251,35.67336973,22856,9205,Apex Fire Department,2,3045 New Hill Holleman,New Hill,NC,Wake,27562,35.67,-78.93
-78.8607333,35.73575603,22857,9205,Apex Fire Department,3,736 Hunter St.,Apex,NC,Wake,27502,35.74,-78.86
-78.8348,35.70529,22858,9205,Apex Fire Department,4,1615 E. Williams St.,Apex,NC,Wake,27502,35.71,-78.83
-78.88954373,35.7218748,22859,9205,Apex Fire Department,5,2050 Kelly Road,Apex,NC,Wake,27502,35.72,-78.89
-80.226,35.2252,22860,8402,"Aquadale Rural Volunteer Fire Department, Inc.",1,11578 NC 138 Hwy,Norwood,NC,Stanly,28128,35.23,-80.23
-80.18812834,35.19749288,22861,8402,"Aquadale Rural Volunteer Fire Department, Inc.",2,4838 Plank Rd,Norwood,NC,Stanly,28128,35.20,-80.19
-76.82407813,35.02380671,22862,6901,"Arapahoe Volunteer Fire-Rescue, Inc.",1,8233 NC Hwy 306 South,Arapahoe,NC,Pamlico,28510,35.02,-76.82
-80.55894367,36.40277911,22863,8663,"Ararat Volunteer Fire Department, Incorporated",1,1415 Ararat Road,Ararat,NC,Surry,27007,36.40,-80.56
