Responsible Company,Latitude,Longitude,State,Water Reached?,Total
111 AIR NATIONAL GUARD,40.21136523,-75.14237098, PA,Yes,0
111TH AIR NATIONAL GUARD,40.16963216,-75.12839611, PA,Yes,0
186 AIR REFUELING WING,32.34431197,-88.74190826, MS,No,0
187TH FIGHTER WING AIR NATIONAL GUARD,32.30603386,-86.40198733, AL,Yes,0
3M,37.832805,-94.332204, MO,Yes,0
3M,41.753907,-90.288882, IL,Yes,0
3M,44.950176,-93.0048795, MN,Yes,0
3M,44.96484549,-93.062835, MN,Yes,0
3M COMPANY,44.8443101,-92.94922, MN,Yes,0
3-M COMPANY,37.88818331,-94.34349777, MO,Yes,0
62ND AIR LIFT,47.25513,-122.44164, WA,Yes,0
911 AIRFORCE WING,40.49286831,-80.20967052, PA,Yes,0
914 AIRLIFT WING,43.096,-79.05551, NY,Yes,0
ACE FIRE EXTINQUISHER SERVICE,38.978514,-76.9232565, MD,Yes,0
AEROCORP,30.1778,-82.57182, FL,Yes,0
AGUSTA AIR AND SPACE CORP,40.08397411,-75.0020792, PA,Yes,0
AIR NATIONAL GUARD,32.22177,-110.96977, AZ,Yes,0
AIRFORCE RESERVES,25.497448,-80.4070281, FL,Yes,0
ALASKA MARINE LINES,47.57044842,-122.3418374, WA,Yes,0
ALCOA CORP,39.854664,-84.9094605, IN,Yes,0
ALCOA MILL PRODUCTS,40.07411791,-76.33628318, PA,No,0
ALCOLA INC.,40.07411791,-76.33628318, PA,Yes,0
ALLIED AVAITION,38.54443942,-121.5501719, CA,Yes,0
ALYESKA PIPELINE,61.08527778,-146.3911111, AK,Yes,0
ALYESKA PIPELINE,61.08609753,-146.2848056, AK,No,0
ALYESKA PIPELINE,61.13038,-146.3541, AK,No,0
ALYESKA PIPELINE,61.13038,-146.3541,,Yes,0
ALYESKA PIPELINE,61.21753,-149.85825, AK,Yes,0
ALYESKA PIPELINE,64.83704588,-147.7882521, AK,Yes,0
ALYESKA PIPELINE,64.84525,-147.7221, AK,Yes,0
ALYESKA PIPELINE,70.20239,-148.46405, AK,Yes,0
ALYESKA PIPELINE,(blank),(blank), AK,Yes,0
ALYESKA PIPELINE SER CO,61.13038,-146.3541, AK,Yes,0
ALYESKA PIPELINE SERVICE,61.08609753,-146.2848056, AK,No,0
ALYESKA PIPELINE SERVICE,61.13038,-146.3541, AK,No,0
ALYESKA PIPELINE SERVICE,61.13038,-146.3541,,Yes,0
ALYESKA PIPELINE SERVICE,64.84525,-147.7221, AK,No,0
ALYESKA PIPELINE SERVICE CO.,61.09222222,-146.4, AK,Yes,0
ALYESKA PIPELINE SERVICE COMPANY,61.08609753,-146.2848056, AK,Yes,0
ALYESKA PIPELINE SERVICES,61.13038,-146.3541, AK,Yes,0
AMERADA HESS CORP,42.611139,-73.751823, NY,Yes,0
AMERICAN AIRLINES,32.90570803,-97.06493591, TX,Yes,0
AMERICAN AIRLINES,33.00637599,-97.31339402, TX,Yes,0
AMERICAN AIRLINES,36.20485139,-95.86888101, OK,Yes,0
AMERICAN AIRLINES,39.880278,-75.2302935, PA,Unknown,0
AMERICAN AIRLINES,40.65323785,-73.81198707, NY,Yes,0
AMERICAN AIRLINES,40.70179,-73.80853, NY,Yes,0
AMERICAN AIRLINES,(blank),(blank), NY,Yes,0
ANADARKO,26.13222222,-92.04027778, LA,Yes,0
ANDERSON CORP.,45.024426,-92.777553, MN,Yes,0
ANSUL CHEMICAL CO,45.10522602,-87.638375, WI,Yes,0
ARCO CHERRY POINT REFINERY,48.888819,-122.73498, WA,Yes,0
ARCO PRODUCTS CO,38.56821729,-121.5234537, CA,Yes,0
ARROW MATERIAL SERVICES,39.28057895,-81.63218812, OH,Unknown,0
ASH GROVE CEMENT COMPANY,33.694119,-94.424481, AR,No,0
ASHLAND CHEMICAL INC.,39.921735,-75.16244, PA,Yes,0
ASSOCIATED CARTING,41.22836147,-73.16015362, CT,Yes,0
ATLANTIC SHELLFISH,41.634009,-70.906716, MA,Yes,0
ATOFINA PETRO CHEMICAL,30.21885257,-91.06522225, LA,Yes,0
AUSTAL USA,30.35777778,-88.03388889, AL,Yes,0
AUSTAL USA,30.68451229,-88.0314413, AL,Yes,0
AUSTAL USA,30.69111111,-88.03388889, AL,Yes,0
AVALON VOL FIRE DEPT,40.50342225,-80.06568524, PA,Yes,0
AVONDALE INDUSTRIES,29.91259,-90.20401, LA,Yes,0
AVONDALE INDUSTRIES,29.91931834,-90.19078117, LA,Yes,0
AVONDALE INDUSTRIES INC.,29.91931834,-90.19078117, LA,Yes,0
BANGOR INTERNATIONAL AIRPORT,44.805795,-68.773135, ME,Yes,0
BARB AND ED TRUCKING,38.93681,-77.18493, VA,Yes,0
BAY GULF TRANDING CO,36.83780287,-76.28102184, VA,Yes,0
BEALE AFB,39.09432,-121.33729, CA,No,0
BEALE AFB,39.102685,-121.33611, CA,Unknown,0
BEALE AIR FORCE BASE,39.12506294,-121.3855865, CA,Yes,0
BERKLEY SPRINGS VOLUNTEER FD,39.54627917,-78.17277296, WV,Yes,0
BILL AND HILARY CLINTON AIROPORT,34.7487,-92.27485, AR,Yes,0
