Type,Name,PFAS,Lattitude,Longtitude
Drinking Water,Town of Fuquay-Varina,80.00,35.58,-78.80
Drinking Water,Moore County Public Utilities - Pinehurst,3.70,35.26,-79.54
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,118.00,34.30,-77.99
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,136.00,34.93,-78.72
Drinking Water,Brunswick Regional Water & Sewer H2GO,13.21,34.26,-78.09
Waterways,Georgia Branch,3616.64,34.82,-78.83
Drinking Water,WRIGHTSVILLE BEACH WATER SYST NC,2459.70,34.21,-77.80
Creek,Willis Creek,1213.49,34.86,-78.85
Drinking Water,Union County  NC,24.00,34.93,-80.54
Drinking Water,TOWN OF PITTSBORO NC,844.80,35.72,-79.18
Creek,Willis Creek,759.93,34.86,-78.83
Drinking Water,Cape Fear Public Utility Authority - Wilmington,634.00,34.24,-77.95
Drinking Water,PENDER COUNTY UTILITIES NC,425.50,34.55,-77.92
Drinking Water,BLADEN BLUFFS WATER SYSTEM NC,423.50,34.59,-78.57
River,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.48,34.62,-78.55
Waterways,CFPUA-WILMINGTON: LOWER CAPE FEAR WSA - KINGS BLUFF,406.02,34.41,-78.32
Drinking Water,CFPUA-WILMINGTON NC,406.00,34.24,-77.87
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM NC,395.40,33.96,-78.08
Drinking Water,Brunswick County Water System,395.00,34.00,-78.01
Drinking Water,JONES COUNTY WATER SYSTEM,395.00,35.29,-77.49
Well,TOWN OF MAYSVILLE  : Well,334.4,34.90,-77.23
Drinking Water,BURGAW  TOWN OF,316.00,34.58,-77.86
Drinking Water,LAMPLIGHTER SOUTH-DANBY,316.00,35.08,-80.89
Drinking Water,GREENVILLE UTILITIES COMM,316.00,35.66,-77.40
Drinking Water,Corning Inc,315.00,34.30,-77.88
Drinking Water,INTERNATIONAL PAPER COMPANY_0424820,299.12,34.43,-78.35
River,CFPUA-WILMINGTON: CAPE FEAR RIVER KINGS BLUFF,281.42,34.39,-78.29
Drinking Water,ONSLOW WTR AND SEWER AUTHORITY,250.00,34.55,-77.54
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,237.00,34.31,-77.99
Drinking Water,ROCKINGHAM  CITY OF,237.00,34.94,-79.81
Drinking Water,JAMESTOWN  TOWN OF,237.00,35.96,-79.98
Drinking Water,MULBERRY-FAIRPLAINS WTR ASSOC,237.00,36.20,-81.09
Drinking Water,BESSEMER CITY  CITY OF,222.00,35.32,-81.27
Drinking Water,WINTERVILLE  TOWN OF,222.00,35.53,-77.44
Drinking Water,Harnett County,218.00,35.36,-78.88
Drinking Water,HARNETT REGIONAL WATER NC,217.50,35.41,-78.81
