Site Type,Name,Total PFAS,sample Type,Lattitude,Longtitude
Drinking Water >,Selma,36.00,Drinking Water,32.4073589,-87.0211007
Drinking Water >,Grand Strand Water and Sewer Authority,40.00,Drinking Water,33.7827418,-79.0245755
Drinking Water >,City of Conway,37.00,Drinking Water,33.8360034,-79.0478143
Drinking Water >,The Village of Bald Head Island,27.00,Drinking Water,33.8737069,-78.0015309
Drinking Water >,Brookwoodÿwater ,21.00,Drinking Water,33.8836398,-84.0400713
Drinking Water <,"ÿColumbus County, NC",7.30,Drinking Water,34.2548658,-78.7476208
UCMR 4,BRUNSWICK COUNTY WATER SYSTEM,237.00,Drinking Water,34.3023653,-77.9852853
Drinking Water <,"Lake Waccamaw, NC",9.00,Lake,34.3190578,-78.5000088
Drinking Water <,"Bolton, NC",3.20,Drinking Water,34.3207243,-78.4019497
Drinking Water <,"Surf City, NC",1.50,Drinking Water,34.4271121,-77.5460805
Drinking Water >,Pender County Utilities,426.00,Drinking Water,34.5512534,-77.9186064
UCMR 4,ONSLOW WTR AND SEWER AUTHORITY,250.00,Drinking Water,34.5521821,-77.5390127
UCMR 4,"BURGAW, TOWN OF",316.00,Drinking Water,34.5848419,-77.8595963
Drinking Water >,Bladen Bluffs Water System,425.00,Drinking Water,34.5882404,-78.5660852
Drinking Water <,"Bladen County, NC",107.00,Drinking Water,34.5882404,-78.5660852
Drinking Water >,City of Lumberton,57.00,Drinking Water,34.6182199,-79.0086424
Drinking Water <,"Onslow, NC",1.60,Drinking Water,34.6540094,-77.4701972
UCMR 4,"ATLANTIC BEACH, TOWN OF",15.00,Drinking Water,34.7061343,-76.8374995
UCMR 4,"MAXTON, TOWN OF",79.00,Drinking Water,34.7220727,-79.3127543
Drinking Water <,"GREENEVERS, TOWN OF: WELL #1",1.40,Well,34.8255981855382,-77.9278053143675
Drinking Water >,Greenvilleÿ,23.00,Drinking Water,34.8526176,-82.3940104
Drinking Water <,"Hamletÿ, NC",9.20,Drinking Water,34.8848775,-79.6942222
Drinking Water >,"Wagram, NC 28396",12.00,Drinking Water,34.8879396,-79.3661515
Drinking Water <,"ÿAnson County, NC",8.00,Drinking Water,34.9054732,-80.1875065
UCMR 4,BLADEN CO WTR DIST-EAST BLADEN,316.00,Drinking Water,34.9303695,-78.7249469
