index,Type,Name,PFAS,Latitude,Longtitude,PFASFound,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,spilldata,chemindustry,greenhouse,solidwaste,ustincident,chemIndustowater,landfiltowater,chemFacttowater,coalash,hazardwaste,oldhazardsite,elevation,countofChemIndus,countofLandfill,countChemFactory,solidwastetowater,countsolidwaste,industryname,ustincidenttowater,counttoustincident,firefightingtowater,counttofirefighting,distancetoprereglandfil,prereglandfiltowater,counttofprereglandfil,fedsitetowater,counttoffedsites,soilclassification,clay,sand,temp,Precipitation,windSpeed,Pressure,distancetowaterdischarge,dischargetowater,countofwaterdischarge
0,Drinking Water,City of Conway,37.0,36.44,-77.23,1,2.9014936610115716,1.6571492837139765,1.333297693876297,1.333297693876297,4.068483625992718,175.55663498814056,27.613382052506157,156.59213454109326,1.333297693876297,27.18827031148208,6.578828366486018,3.3544576166506013,3.414390933825983,32.443735438494926,1.3366979263984884,1.1303378616100974,23.0,0,4,2,3.414390933825983,2,Plastics and Resins,4.919638599403621,0,4.919638599403621,0,4.428458557091665,6.2878544603298865,9,9,9,Acrisols,120.0,653.0,16.353846153846153,121.56666666666668,6.290909090909091,1018.3857142857142,1.4043455945225503,3.381907077697609,4
1,Well,THE VILLAGE OF BALD HEAD ISLAND: ROYAL JAMES WELL,28.81,33.86,-77.99,1,10.81349181627192,11.272349516235083,9.404470563964987,9.404470563964987,3.53139266422113,44.23721348859651,9.525308285612464,134.13490282014064,9.404470563964987,34.96687734306227,3.9089541341459184,3.2778423153052323,4.678733921686431,7.318090097287957,7.856982008959914,8.516890183956006,9.0,1,4,3,4.678733921686431,3,Chemical Mfg,4.9065250746727935,0,4.9065250746727935,0,9.736072693025292,3.453877024123719,8,8,8,Acrisols,260.0,462.0,19.114285714285717,150.53809523809525,9.613636363636363,1018.5190476190477,10.739260856309425,4.198339785083755,4
2,Drinking Water,THE VILLAGE OF BALD HEAD ISLAND NC,26.8,33.87,-78.0,1,9.37516226607636,10.078095337371257,8.166739937908469,8.166739937908469,2.089700354999987,43.42635983960132,8.358108137240857,132.69394504791035,8.166739937908469,34.24435358183441,3.9089541341459184,3.2778423153052323,4.678733921686431,5.969952559998721,6.4987241730215315,7.102199252589388,5.0,1,4,3,4.678733921686431,3,Chemical Mfg,4.9065250746727935,0,4.9065250746727935,0,8.343161614220937,3.453877024123719,8,8,8,Acrisols,260.0,466.0,19.114285714285717,150.53809523809525,9.613636363636363,1018.5190476190477,9.401145078576572,4.198339785083755,4
3,Drinking Water,BRUNSWICK COUNTY WATER SYSTEM NC,395.4,33.96,-78.08,1,3.5322839683902627,0.7303287352166202,5.338872424256187,5.338872424256187,2.550062026692525,37.35879306452032,7.455875694950947,120.26103297781727,5.338872424256187,29.54018825675106,3.9089541341459184,2.120089574414774,4.306799010592454,3.3541631471615196,2.9203958972969644,5.562440313679589,13.0,3,15,4,4.306799010592454,4,Chemical Mfg,4.9065250746727935,0,4.9065250746727935,0,2.9932622986162265,1.5977403812616648,11,11,11,Acrisols,,,19.114285714285717,150.53809523809525,9.613636363636363,1018.5190476190477,4.900664949035138,4.198339785083755,6
4,Drinking Water,Brunswick County Water System,395.0,34.0,-78.01,1,9.809336846332531,3.9600805887640615,6.152053100344941,6.152053100344941,1.5142964756543964,30.299515881170123,6.152053100344941,120.59370121395689,6.152053100344941,21.98432088269188,3.9089541341459184,2.8175201670923142,3.9089541341459184,8.754264006476442,6.516720027943153,3.7654372086389407,11.0,6,16,8,3.9089541341459184,8,Chemical Mfg,4.9065250746727935,4,4.9065250746727935,4,4.807461780922934,1.1942413059137609,15,15,15,Acrisols,268.0,457.0,18.594285714285714,145.3361111111111,10.844444444444443,1018.4399999999998,5.6601254089342445,4.198339785083755,14
5,Well,CAROLINA BEACH WATER SYSTEM: WELL #1,0.0,34.03,-77.9,0,8.27083594815317,9.956806228005302,13.266576136192867,13.266576136192867,0.3049878701817849,23.992662221632237,12.833313650993443,124.75001620737326,13.266576136192867,14.469624448450316,4.084023657386305,2.8903181606192097,3.9089541341459184,16.245387234522724,2.043487089318019,0.9114481830828767,9.0,7,12,9,3.9089541341459184,9,Chemical Mfg,4.9065250746727935,18,4.9065250746727935,18,0.8534735342673163,1.1515496756218637,18,18,18,Luvisols,,,18.594285714285714,145.3361111111111,10.844444444444443,1018.4399999999998,1.7942086863515596,2.0867657218518056,18
6,Well,CFPUA-WILMINGTON: MASONBORO FOREST WELL #43,0.0,34.12,-77.89,0,2.180984667212265,0.9992680944662585,7.794029630333171,7.794029630333171,3.421765426370988,13.967446564325792,3.097814294975372,118.34875488532532,7.794029630333171,4.711925203692676,4.084023657386305,2.8903181606192097,1.6354766859944734,19.447176841147254,1.9608069814940363,0.2938315455787529,11.0,11,15,18,1.6354766859944734,18,Chemical Mfg,4.9065250746727935,20,4.9065250746727935,20,1.3148341835153152,4.242114556167841,23,23,23,Luvisols,237.0,453.0,18.857142857142858,123.16944444444442,12.202777777777776,1018.24,3.1618801166112513,4.354446864473718,29
7,Well,TABOR CITY  TOWN OF   WELL #1,0.0,34.15,-78.88,0,3.1855405007941533,0.3332848115393293,22.764616367289126,22.764616367289126,2.341642210173989,76.45259590669525,1.733805446313996,77.02835923526665,22.764616367289126,51.943494436198975,0.8564017815919259,2.2000338169049276,2.294694315853794,50.69699493720229,1.7254548294672827,0.25408485445588347,31.0,4,5,2,2.294694315853794,2,Printing,2.156163605764741,0,2.156163605764741,0,6.108321485128983,3.3841664127332587,3,3,3,Acrisols,149.0,619.0,18.013636363636365,130.6095238095238,6.709090909090909,1018.7714285714286,2.09972073405003,1.5525479808461933,3
8,Creek,CFPUA/MONTEREY HEIGHTS: LORDS CREEK,0.0,34.15,-77.91,0,5.109575182236213,0.9681572460098593,4.171380592248504,4.171380592248504,0.9376382945075672,11.285763030942856,3.7012054068153932,114.73422464792462,4.171380592248504,4.012864346770728,4.084023657386305,0.46402377019521096,1.6354766859944734,17.44736459848574,0.9832395120146292,3.570310617190412,9.0,11,18,20,1.6354766859944734,20,Chemical Mfg,4.7271647481084615,20,4.7271647481084615,20,4.817296960518789,4.242114556167841,23,23,23,Acrisols,224.0,412.0,18.857142857142858,123.16944444444442,12.202777777777776,1018.24,3.853469787482026,2.327134687853517,32
9,Drinking Water,Willow Woods Arbor,132.0,34.2,-77.86,1,8.759009317059016,8.004013061248354,5.711147230308795,5.711147230308795,7.216561509485406,4.8411335016983985,2.8114306003609824,114.61057022774737,5.711147230308795,2.3963782184178886,9.468058796507737,0.46402377019521096,7.719151081574935,22.912818904293353,1.2492201448615734,2.9387544546767725,14.0,11,10,19,7.719151081574935,19,Waste Management,8.958613871479377,20,8.958613871479377,20,4.191487293834502,10.637664358607044,22,22,22,Acrisols,,,18.857142857142858,123.16944444444442,12.202777777777776,1018.24,5.55259622168939,7.487317987907981,33
