X,Y,ObjectId,Site_ID,Site_Name,Address,City,County,Latitude,Longitude,Status,Date_Received,Date_Approved,Date_Expires
-8844980.5324,4181214.7428,1,YWN-63-001,Roseland Road Reclamation Site,77 Richmond Road,Jackson Springs,Moore,35.127451,-79.455812,Renewal,2020/05/15 03:59:59+00,2020/05/28 03:59:59+00,2021/05/31 03:59:59+00
-8826185.7949,4196793.3588,2,YWN-63-002,Town of Vass Yard Debris Dump,140 S. ALMA STREET,Vass,Moore,35.241828,-79.286976,Renewal,2020/06/10 03:59:59+00,2020/06/15 03:59:59+00,2021/05/31 03:59:59+00
-8839359.566,4208526.9802,3,YWN-63-003,Town of Carthage Mulch Dump,4396 US-501,Carthage,Moore,35.327869,-79.405318,Renewal,2020/05/21 03:59:59+00,2020/06/01 03:59:59+00,2021/05/31 03:59:59+00
-8826905.2527,4193639.1446,4,YWN-63-004,Furr Road Stockpile,993 Priest Hill Road,Carthage,Moore,35.218683,-79.293439,Renewal,2020/05/27 03:59:59+00,2020/06/03 03:59:59+00,2021/05/31 03:59:59+00
-8846309.3977,4191068.5223,5,YWN-63-008,Village of Pinehurst Public Services,700 McCaskill Road,Pinehurst,Moore,35.1998154,-79.4677494,Renewal,2020/06/01 03:59:59+00,2020/06/05 03:59:59+00,2021/05/31 03:59:59+00
-8690798.0283,4288992.4133,6,YWN-64-001,Wood Chip Facility,305 W. Nash Street,Spring Hope,Nash,35.915441,-78.070767,Renewal,2020/06/02 03:59:59+00,2020/06/03 03:59:59+00,2021/05/31 03:59:59+00
-8705897.8493,4270978.1262,7,YWN-64-002,Town of Middlesex Yard Waste Facility,10471 Selma Road,Middlesex,Nash,35.784273,-78.206411,Renewal,2016/05/19 03:59:59+00,2016/06/20 03:59:59+00,2017/05/31 03:59:59+00
-8678748.1387,4295852.7068,8,YWN-64-004,Town of Nashville - First St. Location,PO Box 987,Nashville,Nash,35.965336,-77.962521,Renewal,2016/05/31 03:59:59+00,2016/06/20 03:59:59+00,2017/05/31 03:59:59+00
-8670752.7276,4297400.9452,9,YWN-64-007,Arrow Road Yard Waste Facility,Arrow Rd (SR 1610),Rocky Mount,Nash,35.976592,-77.890697,Renewal,2014/05/09 03:59:59+00,2014/06/04 03:59:59+00,2015/05/31 03:59:59+00
-8665784.984,4063238.4203,10,YWN-65-008,Seaside Mulch Inc,201 North Green Meadows Driver,Wilmington,New Hanover,34.256073,-77.846071,Renewal,2020/06/26 03:59:59+00,2020/06/26 03:59:59+00,2021/05/31 03:59:59+00
-8659602.2995,4059037.6303,11,YWN-65-010,Evergreen Products Inc.,2605 Blue Clay Road,Wilmington,New Hanover,34.224877,-77.790531,Renewal,2016/05/04 03:59:59+00,2016/08/25 03:59:59+00,2020/05/31 03:59:59+00
-8661627.7576,4066892.4186,12,YWN-65-014,"Jackson Landscaping, Inc.",446 Aquarius Drive,Wilmington,New Hanover,34.283199,-77.808726,Renewal,2020/05/11 03:59:59+00,2020/05/19 03:59:59+00,2021/05/31 03:59:59+00
-8673199.4187,4067246.2156,13,YWN-65-016,"Evergreen Products, Inc.",2605 Blue Clay Rd,Wilmington,New Hanover,34.285825,-77.912676,Renewal,2020/06/01 03:59:59+00,2020/06/08 03:59:59+00,2021/05/31 03:59:59+00
-8671790.7818,4042429.2042,14,YWN-65-017,Mikes Mulch & Stone,6512 Carolina Beach Road,Wilmington,New Hanover,34.101426,-77.900022,Renewal,2020/07/28 03:59:59+00,2020/08/01 03:59:59+00,2021/05/31 03:59:59+00
-8671921.1369,4067425.0045,15,YWN-65-019,American Property Experts Plant #2,606 Sunnyvale Dr,Wilmington,New Hanover,34.287152,-77.901193,Renewal,2020/05/21 03:59:59+00,2020/06/01 03:59:59+00,2021/05/31 03:59:59+00
-8675937.8781,4052688.3638,16,YWN-65-021,American Property Experts Plant #3,606 Sunnyvale Drive,Wilmington,New Hanover,34.177704,-77.937276,Renewal,2020/05/21 03:59:59+00,2020/06/01 03:59:59+00,2021/05/31 03:59:59+00
-8669161.3041,4073390.7898,17,YWN-65-025,Castle Hayne Debris Yard,4800 Blue Clay Road,Castle Hayne,New Hanover,34.331419,-77.876401,Renewal,2018/04/11 03:59:59+00,2018/04/11 03:59:59+00,2019/05/31 03:59:59+00
-8644288.9677,4373356.0654,18,YWN-66-002,Town of Gaston Yard Waste,PO Drawer M,Gaston,Northampton,36.526826,-77.652969,Renewal,2016/06/27 03:59:59+00,2016/07/26 03:59:59+00,2017/05/31 03:59:59+00
-8597181.2308,4360934.5125,19,YWN-66-003,Town of Seaboard,102 W. Central St,Seaboard,Northampton,36.437107,-77.229793,Renewal,2016/06/28 03:59:59+00,2016/08/25 03:59:59+00,2020/05/31 03:59:59+00
-8595775.043,4362176.1732,20,YWN-66-004,Town of Conway,301 W Main St,Conway,Northampton,36.44608,-77.217161,Renewal,2020/05/28 03:59:59+00,2020/06/03 03:59:59+00,2021/05/31 03:59:59+00
-8594821.035,4127078.6879,21,YWN-67-003,Hubert Mine #1,481 Holly Shelter Road,Jacksonville,Onslow,34.728739,-77.208591,Renewal,2016/06/08 03:59:59+00,2016/08/25 03:59:59+00,2020/05/31 03:59:59+00
-8592713.2004,4117761.9452,22,YWN-67-005,"Envy Yards, Inc.",651 Bear Creek Rd,Hubert,Onslow,34.659926,-77.189656,Renewal,2016/06/01 03:59:59+00,2016/07/26 03:59:59+00,2017/05/31 03:59:59+00
-8642524.3311,4124330.2332,23,YWN-67-007,Four Points Woodyard Site,481 Holly Shelter Rd,Jacksonville,Onslow,34.708445,-77.637117,Renewal,2020/06/09 03:59:59+00,2020/06/11 03:59:59+00,2021/05/31 03:59:59+00
-8597299.3408,4133888.1301,24,YWN-67-008,Coastal River Investments,947 Riggs Rd,Hubert,Onslow,34.778997,-77.230854,Renewal,2020/03/05 05:00:00+00,2020/03/05 05:00:00+00,2021/05/31 03:59:59+00
-8625827.298,4097130.0,25,YWN-67-010,King Materials Inc.,500 Tar Landing,Holly Ridge,Onslow,34.507336,-77.487125,Renewal,2020/05/31 03:59:59+00,2020/06/05 03:59:59+00,2021/05/31 03:59:59+00
-8802627.1397,4286886.5896,26,YWN-68-002,Town of Carrboro Public Works,301 West Main Street,Carrboro,Orange,35.900119,-79.075345,Renewal,2020/05/22 03:59:59+00,2020/06/02 03:59:59+00,2021/05/31 03:59:59+00
-8796757.0403,4306114.4547,27,YWN-68-003,Gorilla Materials Inc.,7012 Mount Herman Church Rd,Durham,Durham,36.039911,-79.022613,Renewal,2016/05/31 03:59:59+00,2016/06/16 03:59:59+00,2017/05/31 03:59:59+00
-8665653.1817,4194529.6471,28,YWN-69-001,Organic Processing of Oriental,PO Box 328,Oriental,Pamlico,35.225218,-77.844887,Renewal,2015/04/13 03:59:59+00,2015/09/16 03:59:59+00,2019/05/31 03:59:59+00
-8678303.7513,4103100.1618,29,YWN-71-001,Town of Burgaw,109 North Walker Street,Burgaw,Pender,34.551519,-77.958529,Renewal,2020/05/18 03:59:59+00,2020/06/01 03:59:59+00,2021/05/31 03:59:59+00
-8665859.902,4100157.9921,30,YWN-71-003,J. Jones Incorporated Organic Recycling Center,5376 Stag Park Road,Burgaw,Pender,34.529748,-77.846744,Renewal,2016/05/31 03:59:59+00,2016/06/15 03:59:59+00,2020/05/31 03:59:59+00
-8664755.5013,4079170.6306,31,YWN-71-006,Chucks Landfill,436 Wendover Ln,Wilmington,Pender,34.374284,-77.836823,Renewal,2016/05/30 03:59:59+00,2016/06/20 03:59:59+00,2020/05/31 03:59:59+00
-8635755.1042,4092881.2136,32,YWN-71-008,Pender County Site,25540 US Hwy 17S,Hampstead,Pender,34.475878,-77.576308,Renewal,2016/06/08 03:59:59+00,2016/08/09 03:59:59+00,2017/05/31 03:59:59+00
-8664227.8469,4091334.3391,33,YWN-71-010,Brick Chimney Landing,3301 Castle Hayne Road,Castle Hayne,Pender,34.464422,-77.832083,Renewal,2020/03/20 03:59:59+00,2020/03/20 03:59:59+00,2021/05/31 03:59:59+00
-8791787.5156,4361706.9184,34,YWN-73-001,City of Roxboro Yard Waste Facility,779 Mountain Road,Roxboro,Person,36.442689,-78.977971,Renewal,2020/05/18 03:59:59+00,2020/06/01 03:59:59+00,2021/05/31 03:59:59+00
