Site Name,State Territory or Tribe,Latitude,Longitude,Total
ABERDEEN PROVING GROUND (EDGEWOOD AREA), MD,39.395404,-76.30773,1
ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL), MD,39.4606,-76.1414,1
ADAK NAVAL AIR STATION, AK,51.8775,-176.6525,1
ADAMS COUNTY QUINCY LANDFILLS 2&3, IL,39.929444,-91.268472,1
ADAM'S PLATING, MI,42.739439,-84.587781,1
AIR FORCE PLANT #4 (GENERAL DYNAMICS), TX,32.777781,-97.45,1
AIR FORCE PLANT PJKS, CO,39.508686,-105.128965,1
ALADDIN PLATING, PA,41.491939,-75.662781,1
ALAMEDA NAVAL AIR STATION, CA,37.788889,-122.33,1
ALGOMA MUNICIPAL LANDFILL, WI,44.597,-87.4912,1
ALLEGANY BALLISTICS LABORATORY (USNAVY), WV,39.560972,-78.843611,1
ALLIED PAPER  INC./PORTAGE CREEK/KALAMAZOO RIVER, MI,42.303333,-85.576083,1
AMERICAN ANODCO  INC., MI,42.9875,-85.03,1
AMERICAN CYANAMID CO, NJ,40.555561,-74.55945,1
ANDREWS AIR FORCE BASE, MD,38.791667,-76.875,1
ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA), AL,33.659439,-85.969439,1
APPLIED ENVIRONMENTAL SERVICES, NY,40.823054,-73.646693,1
ARMY CREEK LANDFILL, DE,39.653061,-75.608331,1
ARROWHEAD ASSOCIATES  INC./SCOVILL CORP., VA,38.086669,-76.791111,1
ATLANTIC FLEET WEAPONS TRAINING AREA, PR,18.13058,-65.3106,1
AUBURN ROAD LANDFILL, NH,42.9302,-71.3529,1
AUTO ION CHEMICALS  INC., MI,42.293889,-85.567219,1
AVCO LYCOMING (WILLIAMSPORT DIVISION), PA,41.244031,-77.041111,1
BAIRD & MCGUIRE, MA,42.149719,-71.028611,1
BANGOR NAVAL SUBMARINE BASE, WA,47.699,-122.7131,1
BARKHAMSTED-NEW HARTFORD LANDFILL, CT,41.893947,-72.989337,1
BARSTOW MARINE CORPS LOGISTICS BASE, CA,34.878331,-116.9389,1
BEACON HEIGHTS LANDFILL, CT,41.43195,-73.035281,1
BEE CEE MANUFACTURING CO., MO,36.603292,-89.97905,1
BEEDE WASTE OIL, NH,42.855075,-71.105889,1
BELOIT CORP., IL,42.468611,-89.06555,1
BELTSVILLE AGRICULTURAL RESEARCH CENTER (USDA), MD,39.029166,-76.884583,1
BENNINGTON MUNICIPAL SANITARY LANDFILL, VT,42.922219,-73.197781,1
BFI SANITARY LANDFILL (ROCKINGHAM), VT,43.226389,-72.439719,1
BJAT LLC, MA,42.074417,-71.410806,1
BLACKBURN & UNION PRIVILEGES, MA,42.138749,-71.251667,1
BLADES GROUNDWATER, DE,38.631644,-75.610467,1
BOARHEAD FARMS, PA,40.545831,-75.125,1
BRANDYWINE DRMO, MD,38.698056,-76.845,1
BROOKHAVEN NATIONAL LABORATORY (USDOE), NY,40.86,-72.869583,1
BRUNSWICK NAVAL AIR STATION, ME,43.90634,-69.933986,1
BUCKEYE RECLAMATION, OH,40.047219,-80.841669,1
BURGESS BROTHERS LANDFILL, VT,42.878061,-73.150139,1
BUSH VALLEY LANDFILL, MD,39.467219,-76.26195,1
CALDWELL TRUCKING CO., NJ,40.876389,-74.271389,1
CAMP LEJEUNE MILITARY RES. (USNAVY), NC,34.717781,-77.342919,1
CAMP PENDLETON MARINE CORPS BASE, CA,33.306669,-117.3408,1
CANNELTON INDUSTRIES  INC., MI,46.488889,-84.393061,1
CASTLE AIR FORCE BASE (6 AREAS), CA,37.367361,-120.5636,1
CENTRAL LANDFILL, RI,41.808331,-71.534719,1
CHARLES GEORGE RECLAMATION TRUST LANDFILL, MA,42.66945,-71.443339,1
CHARLEVOIX MUNICIPAL WELL, MI,45.317781,-85.266669,1
CHEM CENTRAL, MI,42.91,-85.674161,1
CHEM-FAB, PA,40.315958,-75.136003,1
CHEMICAL LEAMAN TANK LINES  INC., NJ,39.798331,-75.332781,1
CHERRY POINT MARINE CORPS AIR STATION, NC,34.9,-76.8917,1
CHLOR-ALKALI FACILITY (FORMER), NH,44.479194,-71.167194,1
CLARE WATER SUPPLY, MI,43.815,-84.7625,1
COAKLEY LANDFILL, NH,43.001111,-70.817219,1
COLESVILLE MUNICIPAL LANDFILL, NY,42.160419,-75.58945,1
COLLINS & AIKMAN PLANT (FORMER), NH,43.372,-71.05875,1
COMMERCE STREET PLUME, VT,44.452583,-73.121389,1
COMMODORE SEMICONDUCTOR GROUP, PA,40.1241,-75.4194,1
CONSOLIDATED IRON AND METAL, NY,41.498028,-74.005639,1
CORTESE LANDFILL, NY,41.600561,-75.065,1
CURTIS BAY COAST GUARD YARD, MD,39.2,-76.572694,1
CURTIS SPECIALTY PAPERS  INC, NJ,40.561758,-75.089842,1
DAVIS LIQUID WASTE, RI,41.922219,-71.577769,1
DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER, RI,41.6095,-71.47422,1
DEFENSE GENERAL SUPPLY CENTER (DLA), VA,37.4189,-77.4485,1
DELAWARE SAND & GRAVEL LANDFILL, DE,39.651389,-75.602781,1
DEWEY LOEFFEL LANDFILL, NY,42.560957,-73.560496,1
DOVER AIR FORCE BASE, DE,39.127781,-75.466669,1
DOVER MUNICIPAL LANDFILL, NH,43.2125,-70.953,1
DSC MCLOUTH STEEL GIBRALTAR PLANT, MI,42.103075,-83.200292,1
EAST BETHEL DEMOLITION LANDFILL, MN,45.3653,-93.2246,1
EASTERN SURPLUS, ME,45.038889,-67.358333,1
EASTLAND WOOLEN MILL, ME,44.921667,-69.261111,1
EDWARDS AIR FORCE BASE, CA,34.949439,-117.8857,1
EIELSON AIR FORCE BASE, AK,64.67145,-147.0492,1
EL TORO MARINE CORPS AIR STATION, CA,33.676669,-117.7176,1
ELLSWORTH AIR FORCE BASE, SD,44.151681,-103.093332,1
ELMENDORF AIR FORCE BASE, AK,61.254169,-149.7917,1
ESTECH GENERAL CHEMICAL COMPANY, IL,41.628303,-87.526905,1
F.E. WARREN AIR FORCE BASE, WY,41.152742,-104.862334,1
FAIR LAWN WELL FIELD, NJ,40.9375,-74.131939,1
FAIRCHILD AIR FORCE BASE (4 WASTE AREAS), WA,47.628331,-117.6462,1
